[12487],0.023704224756879465
[12483, 12487],0.026742235713310396
[10315, 12487],0.023704224756879465
[10315, 12487, 33469],0.010363324457589938
[10311, 12487],0.029161679762286497
[10311, 10315, 12487],0.015155068026755694
[12479, 12487],0.010839326622438285
[12487, 12895],0.023704224756879465
[12487, 12703],0.02211355309356173
[10315, 12487, 12703],0.010056629131984034
[12487, 12695],0.014579527113272778
[12487, 12679],0.010822537591438655
[10307, 12487],0.026751557493371426
[10307, 10315, 12487],0.011244805571541868
[12487, 12875],0.01767076196120643
[10295, 12487],0.016705443230490273
[12487, 12831],0.010746322795402411
[12487, 32213],0.018417518328644297
[10315, 12487, 32213],0.010080642669266966
[12487, 33469],0.022276620661878528
[12487, 33449],0.020284078596392245
[12487, 32205],0.011777066408087017
[12487, 34893],0.015495353999159916
[10307],0.03774022220341064
[10307, 10315],0.03774022220341064
[10307, 10315, 33469],0.011130453629069973
[10299, 10307],0.010616366511462721
[10299, 10307, 10315],0.010616366511462721
[10307, 12695],0.014579527113272778
[10295, 10307],0.016705443230490273
[10295, 10307, 10315],0.016705443230490273
[10295, 10307, 12895],0.012613257798027496
[10295, 10307, 33449],0.011818375287180211
[10295, 10307, 33469],0.013256099441568808
[10307, 12683],0.012443949676536788
[10307, 12663],0.019207523976771702
[10307, 10311],0.029161679762286497
[10295, 10307, 10311],0.011268440168768741
[10307, 10311, 10315],0.02673762071279565
[10307, 12895],0.03774022220341064
[10307, 10315, 12895],0.01525456405013693
[10307, 12895, 33449],0.01146368643015605
[10307, 12895, 33469],0.012919080547921995
[10307, 12679],0.02047777545785818
[10307, 12679, 12895],0.01507423979748521
[10307, 12479],0.010839326622438285
[10307, 12703],0.02211355309356173
[10307, 12691],0.01089344405150674
[10307, 12875],0.012304906251296788
[10307, 12831],0.012761746737098276
[10307, 12483],0.023265502633095087
[10307, 33469],0.035614055953333404
[10307, 33449],0.03312458830399027
[10307, 33449, 33469],0.020070121643113892
[10307, 32205],0.011777066408087017
[10307, 32213],0.017064906567967005
[10307, 10335],0.01570351686036829
[10307, 10315, 10335],0.01487103123871196
[10311],0.029161679762286497
[10311, 12487, 12703],0.013959489661092967
[10307, 10311, 12895],0.01322510452914983
[10311, 10315],0.029161679762286497
[10311, 10315, 33469],0.011748381377514269
[10295, 10311],0.016705443230490273
[10295, 10311, 10315],0.016705443230490273
[10295, 10311, 12895],0.010899237383894195
[10295, 10311, 33469],0.010715570854501333
[10295, 10311, 33449],0.010650284907181179
[10311, 12663],0.01111256990557373
[10311, 12695],0.014579527113272778
[10311, 10315, 12695],0.012423653300616492
[10311, 12895],0.029161679762286497
[10311, 10315, 12895],0.015873419959816174
[10311, 12895, 33449],0.015648676765773452
[10311, 12479],0.010839326622438285
[10311, 12483],0.026742235713310396
[10311, 12875],0.01767076196120643
[10311, 12679],0.011679968332023066
[10311, 10315, 12679],0.010816629376916834
[10311, 12703],0.02211355309356173
[10311, 10315, 12703],0.018578488413219792
[10311, 12703, 12895],0.010869619793679054
[10311, 12691],0.01332310879841546
[10299, 10311],0.010616366511462721
[10311, 12831],0.010211050743366454
[10311, 33449],0.029161679762286497
[10311, 33449, 33469],0.019341559375995132
[10311, 32213],0.018417518328644297
[10311, 12703, 32213],0.011576644340629175
[10311, 10315, 32213],0.011570582315352565
[10311, 33469],0.029161679762286497
[10311, 32205],0.0189233934258734
[10311, 34893],0.015495353999159916
[10311, 10335],0.01570351686036829
[10311, 10315, 10335],0.013479686420390867
[12559],0.012688190667173376
[12695],0.014579527113272778
[12695, 12831],0.011975821673838002
[12695, 12703],0.02211355309356173
[10315, 12695, 12703],0.017830882440014982
[12691, 12695],0.015365052094910799
[10315, 12695],0.014579527113272778
[10295, 12695],0.016705443230490273
[10295, 10315, 12695],0.010270040459574411
[10295, 12695, 12895],0.010760090620020289
