[55831],0.013063171715237689
[55831, 55867],0.010190248160237574
[55831, 55887],0.012369611577477065
[55831, 55875],0.014672530399288262
[55831, 55859],0.012695527402322247
[55267, 55831],0.01145842580254869
[55319, 55831],0.01090657788438284
[55831, 285525],0.010847515830305231
[55403],0.015621026322862601
[55315, 55403],0.010135204716543717
[56765],0.01010952999256024
[55295],0.018696545246031523
[55295, 55323],0.032569397638596155
[55267, 55295, 55323],0.013209543138131347
[55295, 55315, 55323],0.019219829641332866
[55271, 55295, 55323],0.017016985539003784
[55287, 55295, 55323],0.012464128721006804
[55283, 55295, 55323],0.011250619477430552
[55295, 55323, 55351],0.012730235757681391
[55291, 55295, 55323],0.0189692113224565
[55295, 55319, 55323],0.023549531862827003
[55295, 55327],0.025714173717902314
[55295, 55323, 55327],0.011911001690140626
[55267, 55295, 55327],0.010857578628876301
[55295, 55315, 55327],0.011572890829336473
[55271, 55295, 55327],0.011517611665797687
[55295, 55319, 55327],0.012343995580889708
[55267, 55295],0.03784156584985743
[55267, 55291, 55295],0.02071418662888234
[55267, 55295, 55315],0.014735713351581957
[55267, 55271, 55295],0.012961781335737178
[55267, 55295, 55319],0.01751620776524742
[55267, 55295, 55351],0.015028154686244572
[55267, 55287, 55295],0.011177087392982808
[55267, 55283, 55295],0.010880702738270643
[55267, 55295, 55387],0.01300207106768926
[55295, 55319],0.023549531862827003
[55295, 55315, 55319],0.015567876762063197
[55271, 55295, 55319],0.012684152164054309
[55295, 55319, 55351],0.015563510941189514
[55291, 55295, 55319],0.013233826490426148
[55283, 55295, 55319],0.01342885784783622
[55295, 55319, 55367],0.010393575311490311
[55291, 55295],0.0213299482693779
[55291, 55295, 55351],0.016087473987507685
[55287, 55291, 55295],0.014109814824688918
[55283, 55291, 55295],0.013104154295405719
[55271, 55291, 55295],0.0177883902389527
[55291, 55295, 55327],0.011449201109250212
[55291, 55295, 55315],0.013024576888943986
[55291, 55295, 55343],0.011632882035230526
[55295, 55367],0.012578324454969635
[55271, 55295, 55367],0.010951283342620173
[55295, 55315],0.026466749359085866
[55295, 55315, 55351],0.015329301340812122
[55283, 55295, 55315],0.013191470978543484
[55271, 55295, 55315],0.013264981502922076
[55287, 55295, 55315],0.014562546923994436
[55295, 55315, 55387],0.010687218317451263
[55271, 55295],0.02306944884303924
[55271, 55295, 55351],0.013762650532818159
[55271, 55283, 55295],0.013488554409533495
[55271, 55295, 55343],0.01304507716631241
[55295, 55335],0.012658694405828149
[55295, 55323, 55335],0.012658694405828149
[55287, 55295],0.014109814824688918
[55271, 55287, 55295],0.010508848886777281
[55287, 55295, 55351],0.011737713714925938
[55287, 55295, 55319],0.01192970890674651
[55295, 55351],0.021008879740133234
[55283, 55295],0.02129540310951095
[55295, 55343],0.013695205747623274
[55295, 55323, 55343],0.010349054047967729
[55295, 55887],0.01069787896368053
[55275, 55295],0.012680209555446348
[55295, 56769],0.011479972856708579
[55295, 55379],0.010036356526624466
[55295, 55387],0.01638224130660939
[55323],0.032569397638596155
[55295, 55323, 55367],0.01000147193931298
[55323, 55351],0.021008879740133234
[55267, 55323, 55351],0.018996839322505867
[55315, 55323, 55351],0.018522778946360303
[55287, 55323, 55351],0.015109131421560146
[55291, 55323, 55351],0.01685684317948085
[55319, 55323, 55351],0.01708576616509076
[55271, 55323, 55351],0.013144731164889352
[55323, 55343, 55351],0.01296567923939995
[55275, 55323],0.012680209555446348
[55315, 55323],0.026466749359085866
[55267, 55315, 55323],0.0197462568621704
[55291, 55315, 55323],0.019931735046743688
[55287, 55315, 55323],0.011021787789261392
[55315, 55319, 55323],0.026466749359085866
[55271, 55315, 55323],0.012466035210439503
[55315, 55323, 55335],0.012658694405828149
[55315, 55323, 55327],0.0107034355378198
[55283, 55315, 55323],0.011400160092892735
[55315, 55323, 55343],0.011181293236947262
[55323, 55327],0.025714173717902314
[55267, 55323],0.03784156584985743
[55267, 55291, 55323],0.014986094040145668
[55267, 55287, 55323],0.017251637977622716
[55267, 55271, 55323],0.01469419613797566
[55267, 55319, 55323],0.019566274903875584
[55267, 55323, 55387],0.011487039756771284
[55319, 55323],0.023549531862827003
[55291, 55319, 55323],0.018938301478215968
[55287, 55319, 55323],0.017634347670316936
[55271, 55319, 55323],0.018075774790855266
[55319, 55323, 55335],0.010836484173121884
[55319, 55323, 55327],0.011199770820935418
[55283, 55323],0.02129540310951095
[55271, 55283, 55323],0.01373335871203138
[55283, 55291, 55323],0.017772616741352578
[55267, 55283, 55323],0.010660279141625525
[55283, 55319, 55323],0.01569549413279243
[55283, 55323, 55351],0.010362420087034831
[55271, 55323],0.02306944884303924
[55271, 55291, 55323],0.020086606646093623
[55271, 55323, 55327],0.013308811263728968
[55323, 55335],0.012658694405828149
[55287, 55323],0.014109814824688918
[55271, 55287, 55323],0.013321287502123639
[55287, 55291, 55323],0.012396015420031192
[55287, 55323, 55327],0.010573723768849401
[55283, 55287, 55323],0.01054903437477972
[55323, 55875],0.012631911051525904
[55291, 55323],0.0213299482693779
[55291, 55323, 55335],0.01013939599449321
[55291, 55323, 55327],0.010700663903860255
[55323, 56761],0.0205511488894934
[55323, 197025],0.010359417123931052
[55323, 56769],0.01586976859742451
[55323, 55843],0.012072135986625859
[55323, 55551],0.010341095981563917
[55323, 55343],0.013695205747623274
[55319, 55323, 55343],0.01278665358955371
[55323, 55367],0.012578324454969635
[55323, 55367, 55387],0.011924112223249671
[55271, 55323, 55367],0.011797595640247138
[55323, 55387],0.01638224130660939
[55323, 244119],0.013411887963065324
[55323, 55379],0.010036356526624466
[55287],0.014109814824688918
[55287, 55323, 55335],0.013371365954999031
[55287, 55291],0.0213299482693779
[55287, 55291, 55319],0.012891453036109201
[55287, 55291, 55351],0.012341507542147336
[55287, 55291, 55315],0.015918882500309227
[55287, 55351],0.021008879740133234
[55267, 55287, 55351],0.016646523450500546
[55271, 55287, 55351],0.014891988188303415
[55287, 55319, 55351],0.017175260384296127
[55287, 55327, 55351],0.011958298529859407
[55283, 55287, 55351],0.012753869154660922
[55287, 55335, 55351],0.010021515012778648
[55287, 55315, 55351],0.010903371152706494
[55275, 55287],0.014109814824688918
[55271, 55287],0.02306944884303924
[55271, 55287, 55319],0.010211072645052222
[55271, 55287, 55343],0.010417634886448118
[55267, 55271, 55287],0.01192696038644493
[55271, 55287, 55315],0.010580975324749022
[55271, 55287, 55291],0.01645577105544418
[55271, 55283, 55287],0.013931139346472119
[55271, 55287, 55327],0.010102857982273825
[55267, 55287],0.03784156584985743
[55267, 55287, 55335],0.010407416758444733
[55267, 55287, 55319],0.012708533221696105
[55267, 55287, 55291],0.014433828545796727
[55267, 55287, 55315],0.012983834002745463
[55287, 55315],0.026466749359085866
[55287, 55315, 55335],0.010087137424385896
[55287, 55315, 55319],0.014352847143642523
[55287, 55315, 55387],0.011453867049261829
[55287, 55319],0.023549531862827003
[55287, 55319, 55335],0.014109814824688918
[55287, 55319, 55327],0.010652168814259615
[55287, 55335],0.012658694405828149
[55287, 55343],0.013695205747623274
[55283, 55287],0.02129540310951095
[55283, 55287, 55315],0.014109814824688918
[55283, 55287, 55291],0.013223169054098012
[55267, 55283, 55287],0.012216288860712172
[55283, 55287, 55319],0.014109814824688918
[55283, 55287, 55295],0.014109814824688918
[55287, 56761],0.014109814824688918
[55287, 55327],0.025714173717902314
[55267, 55287, 55327],0.014109814824688918
[55287, 55315, 55327],0.014109814824688918
[55287, 55367],0.012578324454969635
[55287, 55387],0.01638224130660939
[55287, 244119],0.012723826571411521
[55327],0.025714173717902314
[55323, 55327, 55351],0.014377248130485666
[55267, 55323, 55327],0.012336223255192333
[55327, 55351],0.021008879740133234
[55295, 55327, 55351],0.01098580681415023
[55319, 55327, 55351],0.012536148041692763
[55315, 55327],0.026466749359085866
[55267, 55315, 55327],0.011811754723311528
[55291, 55315, 55327],0.01088790461401827
[55315, 55319, 55327],0.012059217887201273
[55283, 55327],0.02129540310951095
[55283, 55315, 55327],0.012259101753866684
[55283, 55319, 55327],0.01013664046936859
[55271, 55327],0.02306944884303924
[55271, 55315, 55327],0.011793504651889511
[55271, 55283, 55327],0.010800773202764428
[55271, 55319, 55327],0.01006143635123609
[55267, 55327],0.03784156584985743
[55267, 55319, 55327],0.012647560365113098
[55267, 55271, 55327],0.012563245045997689
[55327, 55343],0.013695205747623274
[55327, 55387],0.01638224130660939
[55327, 55367],0.012578324454969635
[55327, 55335],0.012658694405828149
[55323, 55327, 55335],0.013197249253003704
[55319, 55327, 55335],0.010321943012226963
[55327, 56761],0.010447856686760125
[55291, 55327],0.0213299482693779
[55291, 55319, 55327],0.010842393873141853
[55319, 55327],0.023549531862827003
[55327, 244119],0.013411887963065324
[55327, 270057],0.013679877353846289
[55283],0.02129540310951095
[55267, 55283],0.03784156584985743
