[55455],0.011112353304266794
[55831],0.014081440970829404
[55351, 55831],0.01055178901803362
[55551, 55831],0.010272194422521391
[55831, 55875],0.013256019436301315
[55831, 55891],0.011849828979065469
[55291, 55831],0.010701773290349352
[55295, 55831],0.012110612854677938
[55315, 55831],0.013918752220113139
[56765],0.010869383086627746
[56761, 56765],0.010066304560625612
[55319, 56765],0.010145369064418697
[55327],0.02147940028983841
[55327, 55351],0.02752632425803047
[55323, 55327, 55351],0.012650317424167841
[55315, 55327, 55351],0.011707772051453073
[55319, 55327, 55351],0.012857824037967078
[55287, 55327, 55351],0.010320160583285611
[55295, 55327, 55351],0.012112186052531103
[55327, 55335, 55351],0.011692078752514988
[55323, 55327],0.03306165004723148
[55267, 55323, 55327],0.010830060084874617
[55291, 55323, 55327],0.013068552204171639
[55271, 55323, 55327],0.012074242808482417
[55319, 55323, 55327],0.011724354601250646
[55315, 55323, 55327],0.019259982142741116
[55287, 55323, 55327],0.010475951581197972
[55295, 55323, 55327],0.011195145888030892
[55323, 55327, 55335],0.011196069051219238
[55295, 55327],0.016714296875996477
[55267, 55295, 55327],0.010620833655510973
[55291, 55295, 55327],0.011032461290108653
[55295, 55327, 55335],0.011732867215907106
[55295, 55319, 55327],0.013367444471421614
[55295, 55315, 55327],0.011741452501873405
[55271, 55295, 55327],0.010666777171454384
[55319, 55327],0.024621708097075364
[55315, 55319, 55327],0.014311234422558654
[55271, 55319, 55327],0.011182394372058485
[55319, 55327, 55335],0.011432731253649681
[55315, 55327],0.022190972204216643
[55271, 55327],0.029941410756694146
[55271, 55327, 55335],0.011375939241296025
[55283, 55327],0.020737158965160103
[55267, 55327],0.037951123831856094
[55267, 55319, 55327],0.011054681870881204
[55287, 55327],0.014623192489487777
[55287, 55319, 55327],0.016324622783189417
[55267, 55287, 55327],0.010232286332201922
[55291, 55327],0.023583081895478496
[55291, 55319, 55327],0.012078250142961293
[55327, 55335],0.013646232799600195
[55327, 55367],0.012518208239441013
[55327, 56769],0.010949611552770685
[55327, 55387],0.015328369588203238
[55327, 253633],0.011777110718826027
[55327, 55347],0.013689840988845986
[55327, 305417],0.011900738239647202
[55287],0.014623192489487777
[55287, 55291, 55327],0.01095308638963107
[55287, 55295, 55327],0.011670209221562181
[55287, 55291],0.023583081895478496
[55287, 55291, 55323],0.020329156295926083
[55287, 55291, 55315],0.015085049017044676
[55287, 55291, 55351],0.0180951990139644
[55287, 55291, 55319],0.01973552841329567
[55271, 55287],0.029941410756694146
[55267, 55271, 55287],0.01711599345018926
[55271, 55287, 55323],0.013412961135421375
[55271, 55287, 55315],0.010277212000636452
[55271, 55287, 55319],0.012572003272814368
[55271, 55287, 55295],0.0110228858273068
[55271, 55287, 55351],0.01275741819803464
[55271, 55287, 55291],0.012727652565916577
[55287, 55323],0.03306165004723148
[55287, 55323, 55351],0.018240508571791495
[55267, 55287, 55323],0.013939818351886681
[55287, 55319, 55323],0.015205887567113564
[55287, 55315, 55323],0.011652343864578142
[55287, 55295, 55323],0.011123701276536785
[55283, 55287, 55323],0.010744926103165098
[55287, 55323, 55367],0.012551698104236293
[55267, 55287],0.037951123831856094
[55267, 55287, 55315],0.012460466384036235
