[55835],0.011693834601859233
[55831, 55835],0.012977184891440645
[55835, 55871],0.010181572483879337
[55831],0.012977184891440645
[55831, 55871],0.010360863581256357
[55831, 56761],0.012644505610000809
[55831, 55859],0.010019511850085833
[56765],0.012506603127710876
[55287],0.010069563303116922
[55287, 55323],0.03432418631159819
[55287, 55323, 55351],0.011133638313884558
[55267, 55287, 55323],0.014042134588543658
[55287, 55315, 55323],0.012862370667860064
[55287, 55319, 55323],0.01798521532360912
[55287, 55295, 55323],0.01337520511269476
[55271, 55287],0.027149070208682333
[55287, 55315],0.02408330921472991
[55287, 55315, 55351],0.010527183840682987
[55267, 55287, 55315],0.011948156922632161
[55287, 55295, 55315],0.013145407139286108
[55287, 55315, 55319],0.011014346740121837
[55287, 55351],0.025708447480013174
[55267, 55287, 55351],0.010251695578108759
[55271, 55287, 55351],0.010173502043447196
[55287, 55319, 55351],0.01603518788577167
[55287, 55295, 55351],0.010026694988965627
[55287, 55307],0.012479900500309324
[55287, 55295],0.0176428341112997
[55271, 55287, 55295],0.011532551938873063
[55267, 55287, 55295],0.012232658523483929
[55287, 55291, 55295],0.01219075859267255
[55287, 55295, 55319],0.012852228421476998
[55287, 55327],0.022155487290347747
[55283, 55287],0.02166324162758777
[55267, 55287],0.03313742164307101
[55267, 55287, 55319],0.010548643863726592
[55287, 55291],0.014682368012047116
[55267, 55287, 55291],0.011001066992885942
[55287, 55319],0.020949869765379665
[55271, 55287, 55319],0.014126970877011763
[55287, 56761],0.010069563303116922
[55287, 55335],0.011404253800926429
[55287, 55387],0.020271345339550342
[55323],0.03432418631159819
[55295, 55323],0.0176428341112997
[55295, 55323, 55327],0.011095969381315952
[55295, 55323, 55351],0.010835589896912452
[55291, 55295, 55323],0.010426497400089805
[55295, 55323, 55335],0.011404253800926429
[55283, 55295, 55323],0.011520874937081897
[55271, 55295, 55323],0.016133022983202648
[55295, 55315, 55323],0.020474373504137496
[55267, 55295, 55323],0.013449178946599956
[55295, 55319, 55323],0.020949869765379665
[55323, 55327],0.022155487290347747
[55315, 55323, 55327],0.01732304337006962
[55267, 55323, 55327],0.013102801698684781
[55319, 55323, 55327],0.015125856728067131
[55323, 56761],0.017669915903371643
[55315, 55323],0.02408330921472991
[55315, 55323, 55351],0.020810972994882063
[55291, 55315, 55323],0.014682368012047116
[55315, 55323, 55335],0.011404253800926429
[55315, 55319, 55323],0.02408330921472991
[55267, 55315, 55323],0.012747111243338482
[55271, 55315, 55323],0.017890077099726672
[55267, 55323],0.03313742164307101
[55267, 55323, 55351],0.014729389106504304
[55267, 55271, 55323],0.01354570225925695
[55267, 55291, 55323],0.01166195021730614
[55267, 55319, 55323],0.019065891122404508
[55267, 55283, 55323],0.010187857649981048
[55323, 55351],0.025708447480013174
[55323, 55327, 55351],0.010336599212203694
[55319, 55323, 55351],0.011166168946366432
