[55455],0.01178574270741144
[55831],0.015310553876293948
[55831, 55871],0.010497254989618843
[55831, 55835],0.020742799997875327
[55831, 55867],0.011794374550731169
[55831, 55887],0.010697344026081858
[55267, 55831],0.015310553876293948
[55323, 55831],0.012679544446303898
[55319, 55831],0.010656682469761503
[55315, 55831],0.011563073194242724
[55835],0.020742799997875327
[55323, 55835],0.017550352254262887
[55835, 55871],0.010712357388857435
[55267, 55835],0.019037945858453684
[55835, 55891],0.012874175005859289
[56765],0.012235617247668343
[55323],0.039498146561169005
[55323, 55327],0.022287409733858017
[55267, 55323, 55327],0.022287409733858017
[55319, 55323, 55327],0.010925705844271725
[55267, 55323],0.039498146561169005
[55323, 56761],0.020105974763638707
[55315, 55323],0.01896072550562152
[55267, 55315, 55323],0.01896072550562152
[55315, 55323, 55327],0.014842722866064957
[55291, 55315, 55323],0.015985962842816264
[55267, 55291, 55315, 55323],0.015438163250244785
[55315, 55323, 55351],0.021296760511257302
[55267, 55315, 55323, 55351],0.010143222185502121
[55287, 55315, 55323],0.01896072550562152
[55267, 55287, 55315, 55323],0.012093931714388448
[55295, 55315, 55323],0.01896072550562152
[55315, 55319, 55323],0.01896072550562152
[55267, 55315, 55319, 55323],0.016352020617539407
[55271, 55315, 55323],0.014285707912591164
[55307, 55315, 55323],0.014004215345225005
[55323, 55351],0.024980496051824088
[55267, 55323, 55351],0.024980496051824088
[55287, 55323, 55351],0.020335455345547947
[55271, 55323, 55351],0.01127512930859759
[55323, 55339, 55351],0.010286131842355243
[55319, 55323, 55351],0.02316963567558403
[55267, 55319, 55323, 55351],0.010027245755851079
[55323, 55335, 55351],0.012536190531986244
[55291, 55323, 55351],0.012879373216355778
[55295, 55323, 55351],0.018790681568306256
[55323, 55559],0.010299275346093935
[55323, 55551],0.011338575583316312
[55295, 55323],0.01681807180512692
[55295, 55323, 55327],0.013233336786011596
[55267, 55295, 55323, 55327],0.013960374038938086
[55267, 55295, 55323],0.01681807180512692
[55295, 55323, 55335],0.011011025505173496
[55267, 55295, 55315, 55323],0.012379977483588303
[55271, 55295, 55323],0.01884503629902782
[55267, 55271, 55295, 55323],0.011037167667720659
[55291, 55295, 55323],0.02295314930783054
[55295, 55323, 55339],0.010286131842355243
[55287, 55295, 55323],0.01174687261245154
[55267, 55287, 55295, 55323],0.013637228278585416
[55267, 55295, 55323, 55351],0.013716001922477563
[55295, 55319, 55323],0.023753032510333272
[55267, 55295, 55319, 55323],0.02252224188217072
[55295, 55307, 55323],0.012508198383725792
[55267, 55295, 55307, 55323],0.010412280105420684
[55319, 55323],0.023753032510333272
[55267, 55319, 55323, 55327],0.010745307064161625
[55319, 55323, 55335],0.012536190531986244
[55267, 55319, 55323, 55335],0.014991975829185628
[55267, 55319, 55323],0.023753032510333272
[55271, 55319, 55323],0.01776366120527376
[55267, 55271, 55319, 55323],0.01713476532781937
[55319, 55323, 55339],0.010286131842355243
[55267, 55319, 55323, 55339],0.010831015091303605
[55287, 55319, 55323],0.02084480913071985
[55267, 55287, 55319, 55323],0.013365261737785428
[55291, 55319, 55323],0.025644638137248127
[55267, 55291, 55319, 55323],0.016878073756425107
[55319, 55323, 55343],0.010160540351734512
[55283, 55319, 55323],0.016780117018227826
[55307, 55319, 55323],0.014004215345225005
[55267, 55307, 55319, 55323],0.010800920166724752
[55319, 55323, 55387],0.010083390883359996
[55319, 55323, 55347],0.010041758107101352
[55323, 55335],0.012536190531986244
[55267, 55323, 55335],0.012536190531986244
[55323, 55335, 55339],0.010125865603986874
[55287, 55323, 55335],0.012536190531986244
[55315, 55323, 55335],0.012536190531986244
[55323, 55339],0.010286131842355243
[55267, 55323, 55339],0.010286131842355243
[55287, 55323, 55339],0.010286131842355243
[55287, 55323],0.01174687261245154
[55267, 55287, 55323],0.01174687261245154
[55287, 55291, 55323],0.010938258049509814
[55283, 55323],0.025311041448743528
[55267, 55283, 55323],0.025311041448743528
[55283, 55287, 55323],0.012335195338165617
[55283, 55291, 55323],0.011229177130377316
[55283, 55295, 55323],0.016930667802753374
[55283, 55323, 55351],0.01228459667938712
[55271, 55323],0.021436298430077234
[55267, 55271, 55323],0.021436298430077234
[55271, 55287, 55323],0.011244045936103082
[55271, 55323, 55335],0.010626431360975243
[55267, 55271, 55315, 55323],0.011372673913201325
[55271, 55323, 55339],0.010286131842355243
[55271, 55291, 55323],0.015116648215622001
[55291, 55323],0.025644638137248127
[55267, 55291, 55323],0.025644638137248127
[55291, 55323, 55335],0.010502143160883425
[55267, 55271, 55291, 55323],0.011046248648985348
[55267, 55291, 55295, 55323],0.013541046826466854
[55291, 55323, 55327],0.012580422686229283
[55267, 55291, 55323, 55327],0.010052207050735172
[55291, 55323, 55367],0.011086229053638093
[55291, 55323, 55339],0.010286131842355243
[55323, 55891],0.014820550921387229
[55275, 55323],0.014053946816516337
[55323, 55367],0.01334683496507124
[55267, 55323, 55367],0.01334683496507124
[55319, 55323, 55367],0.010381608332305892
[55323, 55343],0.01303728875757013
[55267, 55323, 55343],0.01303728875757013
[55323, 55335, 55343],0.012536190531986244
[55291, 55323, 55343],0.010284680357825827
[55323, 55343, 55351],0.015441756513620302
[55307, 55323],0.014004215345225005
[55267, 55307, 55323],0.014004215345225005
[55271, 55307, 55323],0.010006248371875038
[55307, 55323, 55351],0.011074724304884724
[55283, 55307, 55323],0.010612033899205175
[55323, 55387],0.018543430042620872
[55267, 55323, 55387],0.018543430042620872
[55323, 55347],0.010291422378351532
[55267, 55323, 55347],0.010291422378351532
[55327],0.022287409733858017
[55271, 55323, 55327],0.014596365384459447
[55267, 55271, 55323, 55327],0.01009359239119079
[55267, 55327],0.022287409733858017
[55315, 55327],0.01896072550562152
[55267, 55315, 55327],0.01896072550562152
[55315, 55319, 55327],0.01896072550562152
[55287, 55315, 55327],0.01165404381340515
[55271, 55315, 55327],0.01267057302131466
[55295, 55315, 55327],0.017426858613967894
[55283, 55315, 55327],0.011572655052486492
[55307, 55315, 55327],0.012192885486806818
[55327, 55351],0.024980496051824088
[55267, 55327, 55351],0.019829063056569812
[55323, 55327, 55351],0.010384513907454552
[55287, 55327, 55351],0.01212421277974296
[55271, 55327],0.021436298430077234
[55267, 55271, 55327],0.021436298430077234
[55271, 55295, 55327],0.01033290055657516
[55271, 55319, 55327],0.010951611835433427
[55283, 55327],0.025311041448743528
[55267, 55283, 55327],0.025311041448743528
[55287, 55327],0.01174687261245154
[55267, 55287, 55327],0.01174687261245154
[55287, 55319, 55327],0.011580702015221551
[55287, 55323, 55327],0.010159594117279104
[55327, 55339],0.010286131842355243
[55267, 55327, 55339],0.010286131842355243
[55295, 55327, 55339],0.010590043528103424
[55319, 55327, 55339],0.01000156474983542
[55323, 55327, 55339],0.010286131842355243
[55287, 55327, 55339],0.010818804569903868
[55295, 55327],0.01681807180512692
