[55831],0.016622085422748213
[55831, 55843],0.010991853862603387
[55831, 55875],0.012952219749617319
[55267, 55831],0.012871636921525828
[56765],0.011507893528013317
[56761, 56765],0.012230887316450384
[55327],0.023890135146865218
[55323, 55327],0.03287596704231647
[55295, 55323, 55327],0.010433063206559706
[55315, 55323, 55327],0.013531040946269484
[55267, 55327],0.03758109451912222
[55327, 55351],0.021917736049543838
[55319, 55327, 55351],0.011030936594334129
[55315, 55327],0.021661813551824716
[55315, 55319, 55327],0.01664393119479518
[55291, 55315, 55327],0.014412591033642437
[55283, 55315, 55327],0.010460491335063936
[55319, 55327],0.023938779206085104
[55319, 55323, 55327],0.013059716487855614
[55295, 55319, 55327],0.010866671044359628
[55291, 55319, 55327],0.011276595428416608
[55283, 55319, 55327],0.01096863582940099
[55271, 55327],0.023066618560512384
[55271, 55323, 55327],0.01076033916059418
[55291, 55327],0.02253402064752803
[55283, 55327],0.01713772953584828
[55283, 55323, 55327],0.010949429277110694
[55327, 55367],0.011836121110387388
[55327, 55343],0.015739349029720746
[55295, 55327],0.018300089971121876
[55327, 55387],0.015674917187819118
[55327, 253633],0.01327598273910681
[55323],0.03287596704231647
[55291, 55323, 55327],0.014043448980615459
[55315, 55323],0.021661813551824716
[55267, 55315, 55323],0.013707494586631602
[55315, 55319, 55323],0.021661813551824716
[55315, 55323, 55351],0.014824876570987909
[55271, 55315, 55323],0.01388873745448218
[55291, 55315, 55323],0.017508162726388683
[55295, 55315, 55323],0.016233219698497767
[55283, 55315, 55323],0.012802516147544808
[55315, 55323, 55343],0.01005041719850852
[55323, 55487],0.011479398604938094
[55323, 55351],0.021917736049543838
[55295, 55323, 55351],0.012165718165886184
[55319, 55323, 55351],0.01762314813997109
[55267, 55323, 55351],0.014419182296035138
[55283, 55323, 55351],0.011410923486668787
[55291, 55323, 55351],0.014639695816328964
[55275, 55323],0.012154260683937497
[55267, 55323],0.03758109451912222
[55267, 55323, 55327],0.013469458325478778
[55267, 55283, 55323],0.011823992121792415
[55267, 55295, 55323],0.015697989529229215
[55267, 55291, 55323],0.013109293321840952
[55267, 55319, 55323],0.024065195584898898
[55267, 55271, 55323],0.013906166095822164
[55267, 55323, 55367],0.010271985265969225
[55283, 55323],0.01713772953584828
[55283, 55295, 55323],0.012858450091136519
[55283, 55319, 55323],0.010033270348988156
[55291, 55323],0.02253402064752803
[55291, 55295, 55323],0.021157520395721933
[55291, 55319, 55323],0.022398337450908107
[55271, 55291, 55323],0.013732950305225847
[55283, 55291, 55323],0.01753420710177165
[55319, 55323],0.023938779206085104
[55295, 55319, 55323],0.01970598512766004
[55271, 55319, 55323],0.014372811755661782
[55319, 55323, 55343],0.01704852812864704
[55295, 55323],0.018300089971121876
[55271, 55295, 55323],0.013195799948125054
[55271, 55323],0.023066618560512384
[55271, 55283, 55323],0.011485859806460906
[55323, 56761],0.011226486896009117
[55323, 55559],0.010604744905799225
[55323, 55343],0.024819133675020227
[55323, 55367],0.011836121110387388
[55319, 55323, 55367],0.011802378047866735
[55315, 55323, 55367],0.012308452649676355
[55323, 55387],0.015674917187819118
[55319, 55323, 55387],0.010804604543177292
[55267, 55323, 55387],0.015492486237945522
[55315, 55323, 55387],0.011852725161681727
[55323, 253633],0.01327598273910681
[55319, 55323, 253633],0.012820683823230008
[55267, 55323, 253633],0.01244529062450282
[55323, 305417],0.012026702894345587
[55295],0.018300089971121876
[55291, 55295, 55327],0.010574267390028865
[55295, 55315, 55327],0.014844974002824031
[55283, 55295, 55327],0.010136257436722933
