[56765],0.010924360439412723
[55831],0.012744874700662464
[55287],0.01387135988414097
[55287, 55315],0.013591938839622777
[55287, 55319],0.014945023538184775
[55267, 55287],0.01188290578346166
[55271, 55287],0.01209754318042013
[55287, 55291],0.011427396027009575
[55287, 55323],0.01592969069383163
[55287, 55351],0.013910759838724428
[55287, 55295],0.011899364374859913
[55295],0.0173620243620877
[55295, 55323],0.022306597215133346
[55291, 55295],0.018510688428099553
[55267, 55295],0.01710201920490469
[55295, 55319],0.02068234454104371
[55295, 55315],0.017846344173740286
[55295, 55351],0.01608313410643723
[55271, 55295],0.0161506017226069
[55283, 55295],0.010101830707735291
[55323],0.03488142799426928
[55315, 55323],0.022032513819147486
[55267, 55323],0.019552045141091146
[55323, 55327],0.012302096506852505
[55271, 55323],0.016597566423442026
[55323, 55351],0.02051254239464361
[55319, 55323],0.02068234454104371
[55291, 55323],0.015791595526361474
[55323, 55335],0.01112345642168969
[55323, 55343],0.010290654597150334
[55283, 55323],0.0120189111135088
[55323, 55367],0.010418381602352653
[55327],0.02268365240114378
[55315, 55327],0.01087211849145736
[55319, 55327],0.012281025074623895
[55283],0.022337625110735632
[55283, 55319],0.011263630229963417
[55283, 55291],0.012253489873388595
[55283, 55315],0.011824170943710044
[84731],0.011919796201562654
[55343],0.012994168539943935
[55319],0.02068234454104371
[55291, 55319],0.01723117088685553
[55271, 55319],0.017349304224435497
[55267, 55319],0.020403306988004896
[55319, 55335],0.01112345642168969
[55319, 55351],0.01839616904895331
[55315, 55319],0.021291455819288298
[55367],0.012791572910795778
[82719],0.01450176715004559
[55291],0.018510688428099553
[55271, 55291],0.015046610362897285
[55291, 55351],0.01363939781824242
[55291, 55315],0.014867051587366295
[55267, 55291],0.01616980383158973
[56761],0.02171931872011063
[55463],0.011129800793645235
[55271],0.023300768271672514
[55271, 55351],0.013476644486993393
[55267, 55271],0.018311134670347107
[55271, 55315],0.014338275587209664
[55271, 55283],0.012966109969218174
[55267],0.039686886526290835
[55267, 55315],0.018231208284625766
[55267, 55351],0.014769619796859543
[55267, 55283],0.012855681275827004
[55267, 55327],0.012128670585453772
[56041],0.011877068651815715
[55875],0.011206329073272212
[55887],0.01479044104233817
[89721],0.01110338815969324
[55843],0.01158876408153592
[55315],0.022032513819147486
[55315, 55351],0.015638249383375265
[56769],0.018806518034097566
[55351],0.02318591111081351
[55335, 55351],0.010073864872615319
[55487],0.010505631955540452
[203729],0.013104777549862239
[55275],0.011760124589854724
[84759],0.01023000371029942
[55543],0.015254213173891676
[222439],0.01061325109911061
[55891],0.010220095787746053
[55551],0.014216233526410972
[56057],0.011251296438158672
[55387],0.017868290358674647
[55335],0.01112345642168969
[55295, 55335],0.01112345642168969
[55315, 55335],0.010811934365516331
[250271],0.012434184570849929
