[55835],0.011345338617716685
[56765],0.011192235715901952
[55831],0.012727653042793054
[55323],0.035662042965743414
[55267, 55323],0.022527364252053088
[55271, 55323],0.021939585882565515
[55287, 55323],0.012955608110520251
[55323, 55351],0.022614626889908222
[55315, 55323],0.022559378278119033
[55323, 55327],0.014946961449450114
[55295, 55323],0.017539652002635072
[55323, 55335],0.011614668136025304
[55319, 55323],0.024751019865754877
[55283, 55323],0.012109753083187867
[55323, 55339],0.010446599986445333
[55291, 55323],0.018854894364378563
[55323, 55343],0.012910228284529354
[55287],0.012955608110520251
[55271, 55287],0.011205931938745445
[55287, 55319],0.014610848890697142
[55287, 55351],0.016812586816858176
[55287, 55295],0.014316918237021177
[55267, 55287],0.014978310291050807
[55287, 55291],0.012955608110520251
[55287, 55315],0.015149275062056789
[55327],0.021741845027102188
[55315, 55327],0.013162250198652328
[55267, 55327],0.011452929657664458
[55319, 55327],0.012736074482701167
[55291, 55327],0.010435179409557965
[55295],0.017539652002635072
[55295, 55327],0.010978055694347148
[55271, 55295],0.016139127186085893
[55295, 55319],0.022949477972744794
[55295, 55315],0.02152209538304542
[55267, 55295],0.019206890991779586
[55291, 55295],0.01820412486672024
[55295, 55335],0.011614668136025304
[55295, 55351],0.014527237652451107
[55295, 55339],0.010446599986445333
[55283, 55295],0.011405954074913823
[55283],0.02206709109116867
[55267, 55283],0.012442581027955637
[55271, 55283],0.011721129354222265
[55283, 55291],0.014921748310492196
[84731],0.012213443127720294
[55343],0.013382547762411644
[55319, 55343],0.011780621462245467
[55335, 55343],0.010114094041491288
[55319],0.024751019865754877
[55271, 55319],0.01748594150367975
[55319, 55335],0.011614668136025304
[55283, 55319],0.014926102860114872
[55319, 55339],0.010446599986445333
[55319, 55351],0.020727622646879388
[55291, 55319],0.018854894364378563
[55315, 55319],0.022559378278119033
[55267, 55319],0.024731595190431416
[55367],0.013123116457940193
[82719],0.013666889093312047
[55271],0.022948936059709046
[55267, 55271],0.019094588238564948
[55271, 55351],0.013022257816180103
[55271, 55291],0.013438543670406571
[55271, 55315],0.015170791302918797
[55875],0.011707300405443717
[55315],0.022559378278119033
[55267, 55315],0.019343147894649058
[55315, 55339],0.010446599986445333
[55315, 55351],0.01845250551075129
[55291, 55315],0.01675361788594561
[55283, 55315],0.013856519099695095
[55315, 55335],0.010799283272166385
[55267],0.03993638178268105
[55267, 55351],0.015614196664364097
[55267, 55339],0.0100663827654913
[55267, 55291],0.01648392553668865
[55267, 55335],0.01063974339292643
[55559],0.010610341982543346
[55291],0.018854894364378563
[55291, 55335],0.010920697008545475
[55291, 55351],0.013447303565645856
[55291, 55339],0.010718951921989989
[55551],0.014700258217817095
[55351],0.022614626889908222
[55335, 55351],0.010917882416738639
[55339, 55351],0.010833344325787662
[55283, 55351],0.01121022074609778
[89721],0.01057991781447886
[55887],0.01189588492371155
[55531],0.010268746884677606
[56761],0.02213336048371426
[56769],0.017897033638282007
[203729],0.015593840053177129
[55275],0.011766326385035714
[55339],0.010446599986445333
[55335, 55339],0.011614668136025304
[55287, 55339],0.010169774281301891
[84759],0.010418684060822409
[55543],0.015046371596981752
[55891],0.01002082670862712
[56057],0.011062197081668402
[55387],0.016646861913094422
[55335],0.011614668136025304
[55271, 55335],0.010441303136019865
[250271],0.012627471513665237
[270057],0.01023804484229124
