[368],0.0681918603744884
[368, 829],0.017590061330435898
[538],0.04942655944393527
[368, 538],0.04942655944393527
[529, 538],0.018619471637428726
[538, 829],0.020002913757016686
[120, 538],0.02127667358884612
[538, 766],0.021302462309220116
[217, 538],0.017450078334493385
[538, 684],0.023104314859834857
[39, 538],0.020317533638452207
[538, 883],0.015509034719107263
[775],0.0435354655755397
[368, 775],0.021060658681256655
[538, 775],0.01260546354604999
[684, 775],0.02597508136756689
[354, 775],0.027822379311766746
[460, 775],0.0228792826958681
[529, 775],0.02244527239720401
[120, 775],0.02486887799717557
[362, 775],0.01398837313225771
[39, 775],0.01392517731481301
[766, 775],0.011811631232532876
[494, 775],0.014882275690004101
[692, 775],0.011133267386566663
[775, 829],0.0195688466167756
[419, 775],0.02297058170503399
[217, 775],0.013507904590536862
[722, 775],0.014209922352076805
[834],0.015568003325357628
[368, 834],0.014956438210556476
[538, 834],0.015568003325357628
[775, 834],0.010159335623023753
[120, 834],0.015568003325357628
[205, 834],0.022160259298422223
[120, 205, 834],0.019439378125524466
[581, 834],0.018077541711136236
[120, 581, 834],0.017110221952929217
[722, 834],0.011931916544382625
[789, 834],0.01296024654970523
[834, 975],0.016972459338477682
[494, 834],0.015568003325357628
[217, 834],0.010299315485065469
[766, 834],0.015568003325357628
[832, 834],0.01930413432960983
[175, 834],0.027623528300037642
[175, 832, 834],0.010389484341592595
[6, 834],0.017077538108307748
[834, 883],0.010454358529726874
[240, 834],0.01657581496030678
[240, 538, 834],0.01622742625959727
[274, 834],0.020997848033096254
[274, 538, 834],0.021396346369269965
[834, 888],0.011260821847109645
[529, 834],0.015568003325357628
[829, 834],0.015568003325357628
[362, 834],0.011358015462719674
[240],0.01657581496030678
[240, 368],0.016009267902595107
[240, 538],0.01657581496030678
[240, 470],0.01657581496030678
[240, 541],0.01657581496030678
[17, 240],0.015388686445283021
[17, 240, 541],0.015388686445283021
[17, 240, 956],0.012173405938629612
[17, 240, 541, 956],0.011600261178598626
[17, 236, 240],0.011867231845390005
[17, 236, 240, 541],0.010156676981314557
[240, 438],0.015446759085565198
[217, 240],0.013115348530032343
[240, 354],0.01657581496030678
[240, 956],0.03138254481159684
[240, 541, 956],0.03138254481159684
[236, 240, 956],0.010539127592926925
[236, 240, 541, 956],0.011840026059737593
[236, 240],0.030275309863458097
[236, 240, 541],0.030275309863458097
[240, 362],0.012271793030665515
[240, 692],0.01657581496030678
[240, 598],0.016276482507968582
[171, 240],0.011739069282352483
[240, 982],0.014259566265210558
[240, 766],0.01425259196719505
[240, 597],0.019700799144229567
[240, 470, 597],0.018052171526351617
[240, 829],0.01592077710299919
[75, 240],0.01852120678006167
[75, 240, 470],0.017606126439355226
[240, 529],0.010589918027105238
[240, 274],0.01783913389840452
[240, 274, 538],0.014140898452353905
[240, 720],0.011643608725708644
[120, 240],0.013411094402917944
[25],0.012582739970447033
[25, 368],0.012582739970447033
[25, 52],0.0241837728052884
[25, 888],0.012582739970447033
[25, 895],0.012582739970447033
[25, 38],0.010011857286677752
[25, 310],0.010592210647969245
[25, 529],0.012582739970447033
[25, 217],0.012582739970447033
[25, 581],0.02695087469711619
[25, 354],0.012100832458011898
[25, 883],0.010165313659992943
[25, 494],0.012089354842217069
[25, 460],0.012009211908326297
[25, 766],0.012582739970447033
[25, 231],0.012392646092334977
[25, 163],0.014492375149573102
[25, 782],0.018990307248340863
[25, 890],0.01215221563072649
[25, 829],0.012582739970447033
[25, 692],0.012582739970447033
[25, 749],0.011743513297387225
[25, 919],0.012582739970447033
[25, 720],0.011021643099947466
[25, 722],0.012582739970447033
[25, 362],0.010690971356805775
[825],0.03039811210744871
[368, 825],0.03039811210744871
[538, 825],0.01710542112963565
[775, 825],0.03039811210744871
[39, 775, 825],0.02112491532181844
[120, 825],0.03039811210744871
[39, 825],0.03039811210744871
[39, 120, 825],0.010053188920282778
[39, 722, 825],0.011644266014566456
[39, 529, 825],0.010236066437461193
