[368],0.07584415939158223
[240],0.013616584281523856
[25],0.014702712547757811
[630],0.014576772774690782
[630, 883],0.014576772774690782
[630, 789],0.010384211854359799
[834],0.011482731679005058
[120, 834],0.011453842157886075
[448],0.013129882543850965
[448, 538],0.014466601981594263
[561],0.026516568331235748
[368, 561],0.010836077082609934
[561, 829],0.011074236114176251
[217, 561],0.01751501582131876
[775],0.035106455336289887
[177, 775],0.017533641965746836
[354, 775],0.012035462817266375
[684, 775],0.01166520376137609
[75, 775],0.013009658847307695
[274],0.026852623313000857
[130, 274],0.010277843112062982
[145, 274],0.013047939021583535
[52],0.020119391228577005
[687],0.01690124590408721
[538],0.03789351803962803
[368, 538],0.01759878174305166
[529, 538],0.013403722436099939
[120, 538],0.012933151685031683
[538, 878],0.011995802825109533
[460, 538],0.013589160435931325
[538, 937],0.015289764697132795
[538, 684],0.011716651339681482
[825],0.028746605894581924
[39, 825],0.028746605894581924
[704, 825],0.01646596270524107
[39, 704, 825],0.014925336096861403
[692, 825],0.013314026022907762
[362, 825],0.010193841513646279
[120],0.05017687274050483
[39],0.04112220514349069
[39, 368],0.01358826395675556
[39, 145],0.01811940999720135
[39, 419],0.011299272095952651
[581],0.02765229176517499
[120, 581],0.01277873063275335
[581, 966],0.010070295707595158
[419, 581],0.018787639866916523
[581, 631],0.0100043755335783
[205],0.03422662324628514
[120, 205],0.014735478964297204
[205, 883],0.014876505435766652
[205, 460],0.011408868746247618
[205, 368],0.01612398214652998
[205, 766],0.013733214209142468
[21, 205],0.010288660295585552
[205, 217],0.011429779185579225
[205, 829],0.01584404667764942
[205, 529],0.021198890594660742
[814],0.01571601798917404
[814, 829],0.02006867648816244
[704],0.017308771680321206
[39, 704],0.017308771680321206
[401],0.03572130956857975
[401, 684],0.016731384313092523
[401, 883],0.01485120992635785
[401, 460],0.020978836412228016
[32, 401],0.012427407028517308
[401, 571],0.011801202629979142
[401, 419],0.010550875053198084
[401, 758],0.010735709217217388
[674],0.025565955029799317
[145, 674],0.018601648630221793
[438, 674],0.011694252390983921
[39, 674],0.011241370189605252
[950],0.01409894216300775
[722, 950],0.012153509369324392
[766, 950],0.012311616397210887
[692, 950],0.013116138741901475
[692, 766, 950],0.010089739212362897
[829, 950],0.012641348971070382
[529, 950],0.012362781844460661
[35],0.01870571743719544
[35, 529],0.010875726608841924
[733],0.01259396598028936
[854],0.027688463965751038
[419, 854],0.016887288930112182
[529, 854],0.011437593401364455
[937],0.04645004290663115
[368, 937],0.012412320030408944
[449],0.01659448512075263
[449, 692],0.013583461983495637
[449, 829],0.012460370947971066
[857],0.014408071219968769
[857, 937],0.014408071219968769
[413, 857],0.012022003189398042
[793, 857],0.010965423297628278
[21, 857],0.014518590428241926
[964],0.015977034514031596
[937, 964],0.01605714206299724
[422],0.013107271579015691
[422, 692],0.010378177541942046
[895],0.031911510709058497
[120, 895],0.02256776857682722
[766, 895],0.011999604566606282
[766],0.06149268739342344
[883],0.0471920683889905
[853],0.017639996394383132
[766, 853],0.012024205707989795
[853, 883],0.017639996394383132
[571, 853],0.012699150775125751
[623, 853],0.011845795743720905
[795, 853],0.014411706353556266
[381],0.027917666796984875
[368, 381],0.011476237518862396
[381, 460],0.014391042261102813
[294],0.013984761810936334
[294, 883],0.012413018115459577
[978],0.011224111007179325
[883, 978],0.020738881929043402
[229],0.024648318649240004
[229, 529],0.01224190330712441
[229, 692],0.012411781288343976
[283],0.03898072290808852
[283, 766],0.010456347834047015
[145, 283],0.014279487591172995
[217, 283],0.03100406196376671
[283, 346],0.015237411275814848
[217, 283, 346],0.014210134710091001
[33, 283],0.013233544255959273
[33, 217, 283],0.013103622708734029
[283, 515],0.01128932374133513
[217, 283, 515],0.013711214455216331
[283, 684],0.011501695818646714
[39, 283],0.014757287349797475
[39, 145, 283],0.010352600094991176
[283, 829],0.010197428281435609
[738],0.021645068733280592
[438, 738],0.01281056354572349
[529, 738],0.010266439847347745
[708],0.010946291397790665
[708, 883],0.019372811223337328
[966],0.037474842125776335
[722, 966],0.011112111278090642
[354, 966],0.01220605547915595
[438, 966],0.022606725792951282
[368, 438, 966],0.010338367910613972
[32, 966],0.013022567783554864
[368, 966],0.018813599998114227
