[368],0.07631180175648125
[538],0.037652710367232924
[368, 538],0.018743587040121884
[529, 538],0.011151766289567327
[120, 538],0.0131231477288338
[538, 878],0.011214234606384063
[460, 538],0.013112939581915032
[448, 538],0.012295988341997565
[538, 937],0.014391588705320549
[538, 684],0.012821325688755842
[825],0.029708708627891756
[39, 825],0.029708708627891756
[704, 825],0.017510527234275135
[39, 704, 825],0.016715288773251843
[692, 825],0.011615019313160588
[362, 825],0.010296159441478032
[775],0.036805851690241566
[177, 775],0.01842800074967658
[354, 775],0.011566223478134635
[75, 775],0.015497541730593792
[240],0.012486731957153538
[240, 470],0.01137391332536144
[17, 240],0.010137406772295729
[236, 240],0.010092602103454975
[630],0.015536844064599837
[630, 883],0.015254233691700852
[561],0.02661317119827534
[368, 561],0.014050228298696893
[561, 829],0.013911202815426396
[346, 561],0.013617369414744812
[217, 561],0.02113839244425542
[561, 888],0.012225388230831281
[52],0.019561245073518207
[834],0.013185136844860786
[120, 834],0.010741663399494812
[274],0.024611253020166705
[145, 274],0.012863658793513658
[25],0.013763997287471692
[687],0.01828561812866796
[368, 687],0.012184272099864196
[448],0.013730127554214914
[120],0.04869569198721317
[39],0.04271555553969356
[39, 368],0.010947460169686578
[39, 145],0.012996129637266467
[581],0.027110242422209333
[120, 581],0.012066132649867372
[581, 966],0.011586936730412875
[581, 631],0.010963448950018065
[419, 581],0.020580520337837124
[368, 581],0.010451850971789809
[704],0.018107824101067815
[39, 704],0.018107824101067815
[401],0.03628736029614804
[401, 684],0.01793898644788544
[401, 883],0.013567201843960326
[401, 460],0.01672055825988429
[205],0.03493697171610107
[120, 205],0.013778269482452263
[205, 883],0.014816286152291008
[205, 460],0.013626445365972193
[205, 368],0.016640489389969565
[205, 766],0.012761505769439163
[21, 205],0.011070613294373574
[205, 829],0.015781133240490318
[205, 529],0.02288170361601248
[814],0.01701397643943393
[814, 829],0.018319604378792778
[950],0.01409817190705226
[722, 950],0.013297947008338374
[766, 950],0.012302006756124848
[692, 950],0.012930856647917592
[692, 766, 950],0.010060479062387231
[829, 950],0.013305373650137035
[529, 829, 950],0.010192518891935582
[529, 950],0.012697932073267715
[674],0.024342427564243704
[145, 674],0.017017503038010293
[438, 674],0.012539276336582908
[39, 674],0.011883807679353839
[733],0.011259599260138088
[854],0.027914878721206748
[419, 854],0.01795290318252871
[529, 854],0.013496836003252148
[35],0.019619471822077385
[937],0.04464743066642944
[368, 937],0.011312254926232147
[449],0.01705343791005161
[449, 692],0.01060565811567213
[449, 470],0.012299026792028227
[449, 829],0.013371623236356092
[422],0.011294957432779565
[422, 692],0.011536597548303145
[895],0.0317052639904081
[120, 895],0.02538500349513782
[766, 895],0.011712457754158127
[857],0.014864390185052041
[857, 937],0.014864390185052041
[21, 857],0.012003769524822468
[793, 857],0.011851442925620109
[413, 857],0.012232822607378189
[529, 857],0.010219842436687835
[964],0.015390444761352474
[937, 964],0.015678148147365886
[766],0.06127849038514075
[883],0.048741920513396736
[294],0.01570319615289062
[294, 883],0.012097754481470987
[708],0.01051775036592136
[708, 883],0.021372749932704254
[738],0.020841546206821833
[438, 738],0.014669393955344508
[529, 738],0.011357379352569691
[283],0.03861141767257207
[145, 283],0.014185248998518786
[217, 283],0.03202996081410727
[283, 515],0.011442758409887243
[217, 283, 515],0.013198567522344263
[283, 346],0.012881729070424194
[217, 283, 346],0.011847537565699472
[33, 283],0.013262841403068461
[33, 217, 283],0.012000497849492043
[283, 684],0.011146032860734375
[39, 283],0.012766528718629233
