[368],0.0772225567536226
[328],0.010285711607002824
[630],0.01528947135598998
[630, 883],0.017837792139208126
[775],0.03762773273310409
[177, 775],0.01614779710177208
[354, 775],0.010663767589472168
[75, 775],0.013576776882004492
[825],0.03166207685020037
[39, 825],0.03166207685020037
[704, 825],0.016960880840270604
[39, 704, 825],0.015979992808458035
[692, 825],0.012598605588206538
[538],0.03845606934920571
[368, 538],0.018522518546115554
[529, 538],0.012596560878738507
[120, 538],0.013246584524650306
[460, 538],0.012877987533544067
[538, 878],0.010347463574790265
[448, 538],0.011645353030958525
[538, 937],0.014703176248822145
[538, 684],0.012914194435853319
[25],0.01643272028296662
[274],0.02635029463257072
[145, 274],0.014137637439721606
[561],0.027067768587792935
[368, 561],0.013908568389216162
[561, 829],0.010768435540621596
[346, 561],0.014622993658287987
[561, 888],0.013891401660993629
[561, 914],0.015096278567165578
[217, 561],0.022803815474808656
[687],0.018688623389045138
[368, 687],0.012154380968828963
[52],0.018906804595674082
[448],0.013759437016224214
[448, 887],0.012856302866337106
[240],0.012265230681714773
[240, 470],0.013112283763569118
[834],0.0140328981741779
[120, 834],0.010885232748673222
[120],0.050554076733014514
[39],0.04240397959148159
[39, 368],0.014518103482183702
[39, 470],0.012885379295116274
[39, 145],0.015607006109970734
[39, 419],0.01509836868018614
[581],0.027640852605194666
[120, 581],0.011441551280372393
[581, 966],0.010513987965167856
[419, 581],0.01921661109183661
[704],0.019764687235423118
[39, 704],0.019764687235423118
[704, 884],0.010238648285541177
[205],0.037431924655366176
[120, 205],0.013983328994504867
[205, 883],0.015506155769115817
[205, 460],0.011967430267465313
[205, 368],0.014300271175341581
[205, 766],0.012748968816698222
[21, 205],0.010447051403535159
[205, 829],0.016178579448347406
[205, 529],0.022552054147964476
[401],0.035615126108923874
[401, 684],0.018532307821197667
[401, 883],0.012682457527902207
[401, 460],0.01916903015274837
[32, 401],0.011364178567660477
[401, 571],0.012413366747673276
[401, 419],0.011115696177847712
[401, 789],0.011476092379309088
[401, 766],0.011007155364753987
[401, 758],0.011543126875314964
[814],0.01657321480017393
[814, 829],0.01976027781270114
[854],0.028029388747223646
[419, 854],0.018234097269442015
[529, 854],0.013165900847713845
[733],0.01197830172082568
[950],0.016055266130654593
[722, 950],0.012346871812514412
[766, 950],0.01579071715700196
[692, 950],0.014399588039135392
[692, 766, 950],0.01275135749723562
[829, 950],0.01442103469278026
[529, 829, 950],0.010767734691021678
[529, 950],0.013422968999248679
[674],0.02743759262538652
[145, 674],0.014851983812178797
[438, 674],0.010549012308251754
[32, 674],0.010879942634782524
[35],0.01953444950247174
[35, 368],0.011565538588022312
[35, 529],0.012037244407843341
[937],0.0462590061905747
[895],0.0340629656004403
[120, 895],0.022584672456008988
[766, 895],0.012107771207381973
[964],0.014657847808585468
[937, 964],0.016175321254779676
[422],0.011698660413632041
[422, 692],0.011085248973513952
[449],0.01905706518583759
[449, 692],0.011587613839231575
[449, 470],0.013249177443428087
[449, 829],0.013192189545803276
[857],0.0164384255579083
[857, 937],0.014253433746855771
[21, 857],0.013645531779948246
[413, 857],0.01098567032366928
[793, 857],0.010760818247915676
[766],0.062485828642750076
[883],0.04753138504994632
[283],0.041126762711432376
[217, 283],0.020826506252876586
[738],0.022559372299820878
[438, 738],0.01274896578137101
[529, 738],0.010871202170324074
[966],0.03628383663532322
[722, 966],0.012020830661684245
[354, 966],0.012397263853917661
[438, 966],0.0268565854821316
[368, 438, 966],0.012306987205264781
[32, 966],0.014328391140146468
[368, 966],0.0211460956247973
[692, 966],0.015764265758933017
[708],0.01062401250127439
[708, 883],0.019420400827709856
[294],0.012489527996100709
[294, 883],0.013960151788635324
[229],0.022555834851679415
[229, 529],0.013479260183866519
[229, 692],0.011656732222131842
[381],0.0298385088073166
[368, 381],0.016243124795364498
