[368],0.07750519738776501
[834],0.013438400998255055
[240],0.013520669953404852
[538],0.039401919578324195
[52],0.01985615501967849
[274],0.025651718136992987
[448],0.01361830504578856
[687],0.017765707096504643
[825],0.030469758997469745
[39, 825],0.02207666084464687
[775],0.03785752243644112
[630],0.015055590960221764
[561],0.028104859116583038
[25],0.013455018768592715
[120],0.04934707306880349
[39],0.04214842214513746
[39, 145],0.01067608383252023
[581],0.02864311053633553
[814],0.016807070884538634
[401],0.03624952966240256
[401, 460],0.010198473632862389
[205],0.03590261113898799
[704],0.017526119434260797
[39, 704],0.019650414493421302
[674],0.02511413804175041
[35],0.019200738774698266
[733],0.011287083809963934
[950],0.01466685753235758
[854],0.027772035381192127
[937],0.046316527813051823
[964],0.014802644010527093
[449],0.018583031759230585
[895],0.03319809792329677
[120, 895],0.011254343428954672
[422],0.012489072147746569
[857],0.015165100456285089
[766],0.062207633693272694
[883],0.048630031257779746
[283],0.041071401381725804
[217, 283],0.012833985788066087
[294],0.014310995277682738
[978],0.01121295195865784
[738],0.02103882397991629
[966],0.0382696234767249
[438, 966],0.011699383676067421
[853],0.017892311757012863
[229],0.022129778218458653
[708],0.010097159593071928
[381],0.02957797580435024
[569],0.02758898144637215
[104],0.01134365483613539
[620],0.02057078876017852
[798],0.03097940242921786
[143],0.014331043272661128
[143, 460],0.010024238025046097
[529],0.0697616276423616
[682],0.04057048066329606
[368, 682],0.018973551545631354
[494, 682],0.01088625135859316
[947],0.03639588731019012
[32, 947],0.013047988974073275
[217, 947],0.012141259137740884
[350],0.03070404760295827
[214],0.01852565779591278
[214, 354],0.013317892872773589
[185],0.01482636355856906
[7],0.010118838987596381
[658],0.01854884949664212
[809],0.021609562027279164
[970],0.02005174735788069
[782],0.026739218471667256
[529, 782],0.014596015239081411
[390],0.026671921347920943
[390, 722],0.01661217274022625
[227],0.017914375125124025
[227, 722],0.015922958287969642
[914],0.04004239209381524
[192],0.019816156632856897
[496],0.014018878605620287
[280],0.020612928296941942
[279],0.029576419598320105
[675],0.029521758202098437
[597],0.028289560975665953
[71],0.03478845451116761
[71, 766],0.010376945270201629
[720],0.03800146683251208
[618],0.014475917610456112
[932],0.017597723244047937
[530],0.012804421623756975
[208],0.0148815918840163
[217],0.05290812070293171
[183],0.038666260045638425
[183, 766],0.010515932103069583
[706],0.019347370503404265
[653],0.02599401315905724
[276],0.02419700442436137
[878],0.02056547573288787
[177],0.04622422943063457
[175],0.02771884466989049
[795],0.03313099431441946
[161],0.02250450263262489
[490],0.010149669435929588
[571],0.028804918459535676
[910],0.01665712649082946
[623],0.018998414957435514
[424],0.014404497843425772
[960],0.026904957467711755
[766, 960],0.01094396199313276
[130],0.01686143863064285
[125],0.011466397509366606
[392],0.024275137827805954
[862],0.03624205096515365
[120, 862],0.010808294964587765
[494, 862],0.012161987179527966
[461],0.014982263234228157
[27],0.021148454281399404
[921],0.023797640059197985
[900],0.010765711654534143
[78],0.02449138537556039
[411],0.0203127812034317
[147],0.01275295830781907
[579],0.02180448565815136
[803],0.022125837554688783
[572],0.015762199491414892
[778],0.024909893081399376
[266],0.010130897371394042
[944],0.027718657420027163
[494, 944],0.011289578580234685
[614],0.03097451186480207
[290],0.018565347450732142
[523],0.02214583448499661
[888],0.03654888778259016
[458],0.01066819658008568
[334],0.02125638395311087
[43],0.01702120025634641
[70],0.024024287879627498
[70, 684],0.014829507478398547
[874],0.02204679703762348
[513],0.012698267806138358
