[4],0.58725209919319
[9],0.21672220851472412
[4, 9],0.16796731685357902
[10],0.16555915950754554
[4, 10],0.11886562676560004
[9, 10],0.044634520997007925
[2],0.137071223404482
[2, 4],0.10482518879337122
[2, 9],0.048609920951064936
[2, 4, 9],0.0424247301741167
[2, 10],0.041716640843222
[2, 36],0.04705817612904351
[2, 4, 36],0.03971617952062037
[11],0.09818195463357691
[4, 11],0.06970542873502313
[9, 11],0.02752580472965553
[10, 11],0.03947381529792231
[4, 10, 11],0.03134240040990313
[2, 11],0.028643909385919392
[11, 36],0.028906851602832243
[11, 43],0.02541132408748059
[12],0.05796842834999855
[4, 12],0.05796842834999855
[9, 12],0.03940733504596173
[4, 9, 12],0.03338033390949011
[10, 12],0.031737166602345726
[4, 10, 12],0.026302835508539592
[2, 12],0.03456159954198948
[2, 4, 12],0.029114614535997854
[2, 9, 12],0.01666933709948996
[2, 12, 36],0.01607558497496645
[11, 12],0.020672766674424064
[4, 11, 12],0.017160471118736365
[12, 36],0.03923766550796645
[4, 12, 36],0.03274148555984435
[9, 12, 36],0.01980034267931016
[4, 9, 12, 36],0.01702183676946064
[12, 64],0.014900296928806886
[12, 63],0.015877650837822093
[12, 31],0.023189654647629006
[4, 12, 31],0.019310772877975516
[12, 34],0.019111434501305063
[4, 12, 34],0.015913776651652115
[12, 37],0.01616417773968107
[12, 66],0.018073578292616816
[4, 12, 66],0.014873836835021909
[12, 43],0.022717962760302694
[4, 12, 43],0.019016677799242418
[12, 35],0.01952200459183911
[4, 12, 35],0.016011533918583776
[12, 24],0.01546156275201022
[3],0.016796777065965347
[3, 4],0.016796777065965347
[3, 9],0.010521640327277487
[3, 36],0.012490795508860437
[3, 4, 36],0.010934646381737138
[13],0.02174675814102354
[4, 13],0.02174675814102354
[9, 13],0.01567926867925054
[4, 9, 13],0.013390419219493974
[10, 13],0.013661674258761846
[4, 10, 13],0.011281318157038363
[2, 13],0.01616770730342812
[2, 4, 13],0.013435240131765943
[13, 36],0.01423321384286597
[4, 13, 36],0.011879956324664707
[13, 43],0.011907125740249887
[13, 66],0.010601437893551864
[13, 35],0.013748121310841516
[4, 13, 35],0.011467618001406964
[13, 24],0.01391445663692493
[4, 13, 24],0.01170010255645432
[8],0.011326748105503735
[4, 8],0.016560539739697504
[1],0.0137988984256951
[1, 4],0.0137988984256951
[1, 9],0.0137988984256951
[1, 4, 9],0.012842751412251897
[1, 173],0.010610616233904503
[36],0.2163426659568745
[4, 36],0.16065068355077122
[9, 36],0.0750383536800084
[4, 9, 36],0.06520480206063163
[31],0.11045544693873725
[31, 36],0.02912944728362533
[10, 31],0.03168684051005443
[4, 31],0.08244623012349639
[9, 31],0.032473603612242545
[2, 31],0.03388415434221109
[2, 4, 31],0.028302488928012414
[34],0.1072851962871084
[34, 36],0.03395237924680074
[4, 34],0.06850077187573453
[9, 34],0.0282030975286793
[43],0.1000748515621898
[36, 43],0.02577746265001806
[4, 43],0.07314210790708815
[10, 43],0.04664249304199053
[4, 10, 43],0.03754453653092217
[2, 43],0.028924228707744668
[9, 43],0.028992415173575783
[35],0.08891102875774674
[35, 36],0.026236891963662738
[4, 35],0.06383528661343434
[10, 35],0.024951268818269746
[9, 35],0.023159817853654025
[25],0.024031184561597703
[4, 25],0.024031184561597703
[9, 25],0.011414037549434233
[59],0.013308139549461253
[36, 59],0.010323105600245295
[4, 59],0.013308139549461253
[18],0.03831745587011174
[18, 36],0.021849414063433287
[4, 18, 36],0.01796555948108701
[18, 31],0.01322616505256262
[4, 18, 31],0.010973684669658326
[18, 34],0.011331005257248141
[18, 43],0.012811863086168314
[4, 18, 43],0.010646044453821025
[4, 18],0.03831745587011174
[9, 18],0.02183874998136044
[4, 9, 18],0.018441089357875605
[17, 18],0.011067538662247937
[2, 18],0.01947382762819727
[2, 4, 18],0.01631331364442699
[10, 18],0.01754853547533701
[4, 10, 18],0.014527172529336262
[11, 18],0.010911335073200728
[48],0.02848935054987953
[36, 48],0.015845152221363738
[4, 36, 48],0.013001281565653406
[31, 48],0.011353652357591872
[43, 48],0.014481070398229176
[4, 43, 48],0.01186579733084933
[35, 48],0.01143199155205898
[4, 48],0.02848935054987953
[9, 48],0.017154843526742833
[4, 9, 48],0.014140521272005163
[10, 48],0.01711967371583498
[4, 10, 48],0.014228370790213116
[2, 48],0.015605671318648524
[2, 4, 48],0.01296008778669657
[11, 48],0.010297048690815873
[24, 48],0.01007341849538587
[30],0.023263161996404158
[30, 36],0.012153468381410027
[4, 30, 36],0.010389148948707672
[30, 31],0.011536899797131777
[4, 30],0.023263161996404158
[2, 30],0.011962546025468328
[9, 30],0.012599439368247981
[4, 9, 30],0.011016206274525878
[10, 30],0.011575647186422526
[19],0.018521287409212387
[19, 36],0.011076478365232583
[4, 19],0.018521287409212387
[2, 19],0.011256936199006617
[10, 19],0.013104136264766827
[4, 10, 19],0.0107111066653293
[9, 19],0.01212684731142118
[4, 9, 19],0.010234440450621031
[60],0.02615717651066593
[36, 60],0.016394600859021304
[4, 36, 60],0.013959492104820278
[4, 60],0.02615717651066593
[9, 60],0.020942885197272828
[4, 9, 60],0.017565079877927624
[2, 60],0.012107578638368102
[2, 4, 60],0.01006692920235753
[10, 60],0.010694965487984619
[64],0.07405669152394105
[4, 64],0.06256902034089434
[9, 64],0.03721205664010049
[4, 9, 64],0.02953299150736907
[36, 64],0.032865634769994705
[4, 36, 64],0.02582815356889251
[2, 64],0.024625013767775945
[2, 4, 64],0.019177581802986465
[10, 64],0.02460233481472867
[4, 10, 64],0.01920031014356253
[63],0.06307744271009053
[4, 63],0.06307744271009053
[9, 63],0.03340502511629966
[4, 9, 63],0.0268626216405927
[36, 63],0.03444668258298065
[4, 36, 63],0.027697055266416727
[2, 63],0.03505932432486732
[2, 4, 63],0.027656308436933934
[31, 63],0.02414254387215335
[4, 31, 63],0.019474293082251785
[10, 63],0.03509252129049063
[4, 10, 63],0.02792716631216542
[34, 63],0.02128882525260858
[4, 34, 63],0.016838791057833116
[43, 63],0.02876158671758918
[4, 43, 63],0.022862003310663907
[11, 63],0.02553978641311508
[4, 11, 63],0.019880925573468364
[63, 82],0.01658099491600277
[35, 63],0.02787042023337132
[4, 35, 63],0.02202260682134796
[37, 63],0.018195443427072057
[63, 66],0.027009365209893662
[4, 63, 66],0.020770304292980178
[38, 63],0.01824756895472132
[24, 63],0.023100157521610747
[4, 24, 63],0.018405575726448024
[61],0.05066563825240197
[4, 61],0.05066563825240197
[9, 61],0.029001986227267042
[4, 9, 61],0.02427772716874836
[36, 61],0.030298579406833788
[4, 36, 61],0.02494740019160995
[9, 36, 61],0.012896497610304513
[2, 61],0.025300961122674364
[2, 4, 61],0.020784764561134032
[61, 63],0.016323434243967715
[4, 61, 63],0.01338778084348397
[10, 61],0.02392370987002252
[4, 10, 61],0.019602291027138823
[31, 61],0.017019805390927806
[4, 31, 61],0.014009186389607183
[35, 61],0.015524324785079919
[43, 61],0.01815889988113852
