[4],0.5872546498017218
[9],0.21653014506645707
[4, 9],0.17147654855708183
[10],0.1655645032581909
[4, 10],0.12049281034142724
[9, 10],0.04500302955429583
[2],0.13693292755107767
[2, 4],0.10591672263171911
[2, 9],0.04800859751552253
[2, 4, 9],0.04182109819495751
[2, 10],0.04258104937820554
[2, 4, 10],0.03518368388822165
[2, 36],0.04681818878952221
[2, 4, 36],0.03926163447551838
[11],0.0980731749349402
[4, 11],0.07034940379135836
[9, 11],0.02707027114954001
[10, 11],0.03882007536377194
[4, 10, 11],0.031012534045790123
[2, 11],0.027616627309265552
[11, 36],0.028527190214011972
[11, 43],0.02487805727744407
[12],0.0579191308226303
[4, 12],0.05148733916700869
[9, 12],0.025698237373796146
[4, 9, 12],0.022337505600169175
[10, 12],0.018516281799160914
[4, 10, 12],0.0155902130570814
[2, 12],0.02049852219078047
[2, 4, 12],0.017376182823620707
[12, 36],0.0260372072619113
[4, 12, 36],0.021943152746881946
[8],0.011316799540822911
[4, 8],0.010128263618563135
[1],0.01377764819676148
[1, 4],0.012051627579103209
[1, 9],0.01012074084947223
[3],0.016774901433472163
[3, 4],0.015679123704833025
[13],0.0219276291342977
[4, 13],0.021342852248156647
[35],0.08881028515575064
[9, 35],0.02346456432582258
[4, 35],0.06681473069644048
[35, 36],0.025770340668396015
[10, 35],0.025667701779928276
[2, 35],0.02285810841825662
[37],0.07549497826693644
[9, 37],0.02169851238429819
[36, 37],0.01939254453571617
[10, 37],0.027027751641372253
[4, 10, 37],0.022235790046774798
[4, 37],0.058564798090985096
[11, 37],0.01924344062277241
[37, 43],0.021885460075825078
[2, 37],0.02070230671426225
[24],0.0726154248540384
[9, 24],0.02006686627926704
[24, 35],0.04249089900950717
[4, 24, 35],0.03404520595211687
[4, 24],0.057487107979704063
[10, 24],0.018961820740853213
[2, 24],0.018584958230790493
[24, 36],0.022294151115547306
[4, 24, 36],0.018366590442354076
[33],0.02126209861072354
[4, 33],0.017983781930096795
[27],0.017208298225599356
[4, 27],0.013943631902704446
[17],0.039837177460888745
[9, 17],0.017419880508215226
[4, 9, 17],0.014343086677171265
[4, 17],0.0340591597300253
[10, 17],0.011297794853936918
[17, 36],0.014809701189365953
[4, 17, 36],0.012143369191329852
[2, 17],0.012078524974291667
[2, 4, 17],0.010137505590126645
[59],0.013164224859340146
[25],0.023919183607654475
[4, 25],0.018224349594713966
[30],0.023269062159241464
[4, 30],0.018764718792054925
[19],0.01852795126255013
[4, 19],0.01619302878039233
[48],0.02829197375757022
[4, 48],0.026400081236188082
[10, 48],0.010018224485343948
[18],0.03852370341027242
[9, 18],0.013072649751379447
[4, 9, 18],0.01105871378281532
[4, 18],0.03185505394006179
