[10307],0.04216070119681309
[10311],0.03557581621463053
[10307, 10311],0.03414139719971255
[10307, 10311, 10315],0.010195846700686639
[10311, 10315],0.03557581621463053
[10311, 12487],0.026787016258052004
[10311, 12483],0.021540790053475825
[10311, 12895],0.021679576891352855
[10295, 10311],0.02277333748856761
[10295, 10311, 10315],0.014917275859002451
[10311, 12875],0.017323980430463466
[10311, 12703],0.02971332300141108
[10311, 33449],0.017043876605023982
[10311, 32213],0.012784772278947868
[10311, 33469],0.01411039987210592
[10311, 34893],0.018724460893611662
[12487],0.03229931327922963
[10307, 12487],0.01972863937103596
[10315, 12487],0.03054518855259155
[12483, 12487],0.021540790053475825
[12487, 12703],0.023988082139468642
[12487, 12895],0.019558755680921098
[10295, 12487],0.01682431253760463
[12487, 12875],0.018857756092468994
[12487, 32213],0.012784772278947868
[12487, 34893],0.014098049559038837
[12559],0.017767870427254664
[12695],0.022811268871982926
[10295, 12695],0.01143428922522203
[12695, 12703],0.027855269541011855
[12683, 12695],0.011654439330202142
[10307, 12695],0.022811268871982926
[10311, 12695],0.01253420825462101
[12695, 12895],0.012973718049099697
[10315, 12695],0.011082472378417961
[12691, 12695],0.011930998370118831
[12695, 33469],0.011752087223440344
[12695, 33449],0.016506772913566406
[12703],0.02971332300141108
[10307, 12703],0.02082645353585452
[10315, 12703],0.023097903979772683
[12679, 12703],0.016476585123640357
[10295, 12703],0.010132200499420888
[12703, 12895],0.02206712014688818
[12483, 12703],0.01927536561320987
[12703, 12875],0.011166012627283483
[12691, 12703],0.014646350662532443
[12703, 33469],0.011721724212675253
[12703, 34893],0.018724460893611662
[12703, 32213],0.012784772278947868
[12703, 33449],0.018873904783356793
[12831],0.019180798578011984
[12795, 12831],0.010859864261350629
[10315, 12831],0.01433428418245479
[10307, 12831],0.01772481663407131
[12691],0.013364730212178174
[12691, 12895],0.012569644505955385
[12691, 33449],0.012012341541813956
[10291],0.010536950150067392
[10291, 10307],0.010803426753468808
[12819],0.015814380794033446
[10315, 12819],0.013716437350747132
[12819, 12895],0.01090688397664272
[10307, 12819],0.012477099018129783
[12795, 12819],0.012467788497398564
[10295, 12819],0.01039384612813521
[18447],0.014630568571366442
[12895],0.055563620418597096
[12815],0.012608313143952232
[12815, 12895],0.012608313143952232
[10315, 12815],0.012608313143952232
[12875],0.02193956604311168
[10315, 12875],0.014092024756191894
[12875, 12895],0.010234203489667065
[12875, 34893],0.012937227895479426
[12875, 32213],0.011487526214457415
[12407],0.010087132349035799
[12723],0.019117781795471044
[12715],0.022306988084003748
[12483],0.021540790053475825
[10315, 12483],0.021540790053475825
[10307, 12483],0.01871380797583547
[12483, 12895],0.017807152698857527
[12483, 12875],0.011910894087145055
[12419],0.013036361305944542
[18587],0.014665159757985135
[12663],0.024725209197507626
[10307, 12663],0.01405081111950834
[12663, 12895],0.0179734429758595
[12663, 12679],0.012936904333895846
[12687],0.011304683562838692
[12687, 12703],0.010411865927359583
[12679],0.028355622347658777
[12679, 12895],0.021548312276424734
[10307, 12679],0.02524025557908789
[10315, 12679],0.024422305009066208
[12679, 12683],0.01681758027524757
[10311, 12679],0.01205517322667613
[12487, 12679],0.010369963011870872
[12679, 33449],0.018534153542551526
[12431],0.012563599673592107
[12627],0.011975838128448607
[12299],0.017738750273075456
[12443],0.010783892285688823
[12355],0.01737717460068242
[12411],0.010803602489752623
[10877],0.021421681848582175
[12751],0.01601645514126905
[12463],0.012596235712242746
[10315, 12463],0.011956093458103586
[12567],0.028410846073715034
[12621],0.021176455715397315
[10315, 12621],0.012268818785430676
[10315],0.060170858369538664
[12495],0.013613699094334457
[10307, 12495],0.010881456955861176
[18787],0.011750818336483757
[18863],0.012098728633800484
[12827],0.01813824556214581
[10307, 12827],0.012879038429242587
[12827, 12895],0.01813824556214581
[10315, 12827],0.013033003669451001
[12827, 33449],0.010611104768771144
[12551],0.018183251320179908
[10335],0.01637460846297388
[10315, 10335],0.01637460846297388
[10295, 10335],0.010455947622313414
[10295],0.02277333748856761
[10295, 10307],0.02277333748856761
[10295, 10307, 10315],0.01879282722270986
[10295, 10307, 10311],0.017437569321179503
[10295, 10315],0.02277333748856761
[10295, 12483],0.010406291056319865
[10295, 12895],0.02277333748856761
[10295, 10315, 12895],0.013200294181327196
[10295, 12679],0.01055237375826858
[10295, 33469],0.02022820669258712
[10295, 33449],0.014883433354177444
[10295, 32213],0.010450802002363483
[12659],0.01051340224534465
[12795],0.012676130892152679
[10307, 12795],0.012619489283643672
[12683],0.0284235522716465
[10307, 12683],0.017953130582101715
[12347],0.015107353483318896
[12711],0.012110133015201724
[12779],0.010809975340931251
[12783],0.014478298363677432
[12759],0.010777133518126114
[12339],0.029672577504680782
[12427],0.010056344790057611
[12611],0.017558552426880834
[12611, 12621],0.01052218864669882
[12771],0.011193724387551975
[10299],0.011208205179456069
[10299, 10307],0.011208205179456069
[10295, 10299],0.011208205179456069
[12571],0.010005858372783902
[12571, 12703],0.010005858372783902
[12487, 12571],0.010005858372783902
[12571, 34893],0.010005858372783902
[12891],0.016310589618370976
[12871],0.01137229962771337
[34893],0.018724460893611662
[10315, 34893],0.01198167897569583
[32213, 34893],0.012784772278947868
[33457],0.014517659030024492
[32197],0.01033511835059958
[32205],0.012165610827836734
[32205, 32213],0.012784772278947868
[33469],0.06392470284370827
[33449],0.05121257285055774
[33449, 33469],0.021569450104576428
[35177],0.015117692067060574
[32209],0.010399991374824362
[32213],0.012784772278947868
[12895, 32213],0.012784772278947868
[12483, 32213],0.012784772278947868
[10315, 32213],0.012784772278947868
[32213, 33449],0.012784772278947868
[10307, 32213],0.01260492468067342
[12695, 32213],0.010653231518031372
[34901],0.011443347447633983
[34885],0.010426970219624212
[33449, 34885],0.014185160466575109
[34929],0.013632519721751137
[35185],0.014276819996037608
[33429],0.010783597102519275
[33429, 33449],0.010847483110632255
[35153],0.014063183048551291
[34905],0.01013448550836216
[30271],0.010930332085944456
[47953],0.015388282935769524
[47945],0.01429752642971064
[52957],0.011504761122269816
[56093],0.01138846587012399
[56635],0.014225587458846745
[30283],0.011191891656097462
[60965],0.010631729603883007
