[10307],0.0418493580798219
[10307, 10315],0.01236610887425938
[10307, 33449],0.016435186538724115
[12487],0.03473915947491096
[10307, 12487],0.028618195075036722
[12483, 12487],0.03473915947491096
[10315, 12483, 12487],0.011705102120281188
[10315, 12487],0.03392731817048946
[10311, 12487],0.02913281208481472
[10311, 12483, 12487],0.014840285762550951
[12487, 12571],0.018499826706187397
[12487, 12703],0.029946136459011577
[12483, 12487, 12703],0.015802202755586036
[12487, 12895],0.015936531790791273
[10295, 12487],0.012039686826644115
[12487, 12695],0.015454269388438904
[12487, 12875],0.019185562056711722
[12487, 12575],0.011385237687661913
[12487, 33449],0.010827541728210406
[12487, 32213],0.018041646776655304
[12483, 12487, 32213],0.01011469104811687
[12487, 34893],0.013558769535366569
[10311],0.029305900274436022
[10307, 10311],0.029305900274436022
[10307, 10311, 10315],0.013135579929619551
[10311, 12695],0.01034291443445443
[10311, 10315],0.029305900274436022
[10295, 10311],0.029005539410138226
[10295, 10307, 10311],0.017123372438775777
[10311, 12483],0.029305900274436022
[10311, 10315, 12483],0.010387243399973399
[10311, 12895],0.02568545087371694
[10311, 12703],0.029946136459011577
[10311, 12483, 12703],0.010191054810178322
[10311, 12679],0.011978467532256624
[10311, 12875],0.014925869075061356
[10311, 32213],0.018041646776655304
[10311, 33469],0.010659179841987635
[10311, 34893],0.013558769535366569
[10311, 33449],0.014737965121334842
[12695],0.016525517112438284
[12691, 12695],0.012368866957336322
[12695, 12831],0.011004199143772342
[12695, 12703],0.029946136459011577
[12695, 12895],0.016525517112438284
[10307, 12695],0.016525517112438284
[10315, 12695],0.016525517112438284
[10295, 12695],0.016205711730973765
[12483, 12695],0.015472556242528367
[12679, 12695],0.010472522916442932
[12695, 33469],0.013549985781643611
[12695, 33449],0.016525517112438284
[12695, 32213],0.010178283202243723
[12703],0.029946136459011577
[10295, 12703],0.020722601221781788
[12687, 12703],0.010118397287235759
[12571, 12703],0.016788452991564173
[12487, 12703, 32213],0.010180006058990585
[10315, 12703],0.029946136459011577
[10307, 12703],0.02968077028328988
[12703, 12895],0.021617101589692298
[12483, 12703],0.029946136459011577
