[368],0.07572019096573886
[775],0.057479749665328886
[354, 775],0.03182366712423217
[766, 775],0.01591735058389222
[52],0.02020747354512265
[52, 368],0.02020747354512265
[52, 775],0.013276823112456582
[52, 145],0.02020747354512265
[52, 283],0.013931994502899588
[52, 676],0.012380480796373189
[52, 598],0.03268270308420753
[52, 829],0.016909618308747466
[52, 217],0.019188515414206523
[52, 789],0.012694982658395318
[52, 529],0.02020747354512265
[52, 120],0.014206878398638087
[52, 774],0.01475556439978995
[52, 661],0.0216278277528872
[52, 722],0.014324256855641326
[48, 52],0.013966942900644354
[52, 177],0.010078642607319199
[52, 918],0.01195378252831844
[52, 653],0.017355176891556388
[52, 593],0.0226281481478198
[52, 419],0.014998229554016843
[52, 766],0.019058394093893344
[52, 941],0.012834405563098615
[39, 52],0.012268343838159225
[52, 883],0.014563481196771904
[52, 494],0.018746092905523024
[52, 792],0.012880056470577057
[25, 52],0.02050968947581823
[52, 692],0.019136437930712357
[52, 354],0.018401498475593723
[52, 362],0.01353258679936842
[52, 510],0.016963252202967807
[52, 460],0.011885350506100213
[52, 684],0.014686970250398189
[52, 401],0.010704941421026737
[52, 538],0.021037638275889115
[561],0.027177334584773123
[368, 561],0.027177334584773123
[561, 775],0.01246723496056619
[561, 829],0.027177334584773123
[529, 561],0.023868010966519235
[561, 789],0.02334364418657792
[561, 888],0.027177334584773123
[217, 561, 888],0.07414059541374424
[346, 561],0.018248376162492155
[346, 561, 888],0.018248376162492155
[217, 346, 561, 888],0.029035024471259985
[217, 346, 561],0.018248376162492155
[477, 561],0.02148502867464814
[477, 561, 888],0.017081613242130367
[561, 914],0.027177334584773123
[561, 758],0.027924260539067464
[561, 758, 914],0.020215335729050397
[561, 919],0.02907086437286157
[561, 914, 919],0.01984211850757182
[217, 561],0.027177334584773123
[362, 561],0.017371061913504172
[561, 883],0.027177334584773123
[561, 944],0.01892833755612791
[112, 561],0.015557009597829952
[354, 561],0.027177334584773123
[494, 561],0.012921709402695375
[561, 722],0.019383150917353903
[419, 561],0.02618168115623894
[177, 561],0.027177334584773123
[561, 998],0.011892566914167483
[205, 561],0.027177334584773123
[161, 561],0.01874793667169324
[561, 687],0.012115674216566107
[259, 561],0.012006223510281015
[561, 766],0.023747614932779486
[561, 800],0.010866971733785723
[561, 800, 829],0.014427460534493695
[39, 561],0.015428873027321606
[145, 561],0.020275552625936603
[561, 692],0.01634089233976298
[385, 561],0.016860870934504085
[385, 561, 883],0.012319684906906613
[214, 561],0.01318299323480122
[193, 561],0.011593425124132412
[401, 561],0.015639594255937726
[120, 561],0.02360927357470854
[561, 684],0.018215254549755266
[561, 720],0.011390117928614963
[561, 682],0.011740337590117502
[561, 956],0.01795086340644197
[283, 561],0.014306946268985665
[411, 561],0.01682881986142108
[561, 826],0.013659620824065091
[197, 561],0.010330001192870218
[460, 561],0.016210101674193754
[274],0.02116047174436059
[274, 368],0.02116047174436059
[274, 775],0.011800347945716947
[274, 722],0.015185892655042112
[274, 419],0.015626191661143537
[274, 310],0.017412611047249456
[274, 449],0.01689415005340905
[73, 274],0.0170669914137526
[274, 432],0.013785357128407939
[130, 274],0.022571243650097637
[274, 967],0.02138943281777286
[145, 274],0.02116047174436059
[274, 742],0.010235044727969215
[145, 274, 742],0.02085117347814249
[274, 735],0.023948881830872668
