[368],0.07476498290354285
[368, 722],0.03415065639768366
[561],0.02123194597626249
[368, 561],0.02123194597626249
[561, 829],0.02123194597626249
[529, 561],0.02123194597626249
[561, 789],0.02123194597626249
[346, 561],0.02123194597626249
[217, 346, 561],0.06531720908392247
[561, 605],0.015027296955437792
[346, 561, 605],0.013687934456460429
[561, 914],0.02123194597626249
[561, 919],0.025955719873228852
[561, 914, 919],0.019236588710187096
[561, 758],0.018416457026976186
[561, 758, 914],0.015028920358832246
[217, 561],0.02123194597626249
[217, 368, 561],0.010393540868631873
[561, 888],0.03427817377259797
[346, 561, 888],0.03427817377259797
[217, 346, 561, 888],0.029202718797469662
[217, 561, 888],0.03015637205546363
[477, 561],0.017962840967434467
[346, 477, 561],0.012891096543129782
[561, 937],0.02123194597626249
[411, 561],0.011931598654990511
[362, 561],0.016254705250124346
[561, 883],0.02123194597626249
[32, 561],0.01986114521153716
[354, 561],0.02123194597626249
[71, 561],0.010806594494928446
[112, 561],0.01741382817464914
[494, 561],0.020376835970439097
[561, 722],0.02123194597626249
[561, 874],0.013934661168234164
[419, 561],0.019027545480672994
[177, 561],0.02123194597626249
[205, 561],0.018794049970749474
[561, 651],0.012645655710635506
[161, 561],0.0145251745566909
[561, 687],0.011638816372470842
[259, 561],0.010232533176717023
[561, 766],0.02123194597626249
[145, 561],0.01296913835905906
[39, 561],0.013837599155091721
[561, 692],0.016314254987499027
[561, 944],0.015024475868239795
[561, 883, 944],0.010249461684430862
[470, 561],0.019178760927815182
[21, 561],0.015201526590845805
[561, 800],0.013028438965572977
[561, 800, 829],0.01197755757769884
[120, 561],0.02123194597626249
[561, 684],0.01690142108139702
[438, 561],0.01842906155605873
[561, 682],0.02123194597626249
[561, 720],0.011433931229087625
[369, 561],0.011692854559946356
[561, 862],0.017227847219198796
[283, 561],0.012122595534055812
[385, 561],0.012267365600180095
[460, 561],0.014372643286086336
[561, 826],0.011918280867710443
[25],0.019838013584983882
[25, 368],0.019838013584983882
[25, 730],0.01746804161686278
[25, 38],0.010620139547438753
[25, 120],0.010570336390317724
[25, 529],0.012775551334484155
[25, 217],0.019690539136101314
[25, 354],0.010665069217235621
[25, 766],0.019838013584983882
[25, 52],0.020770367884067487
[25, 581],0.01636890221486616
[25, 692],0.015018156759443659
[25, 163],0.01422647382228657
[25, 782],0.01562958416949347
[21, 25],0.012269669162037491
[25, 494],0.010527153989326781
[25, 829],0.012103017234022132
[25, 722],0.014825272755352352
[25, 975],0.010915967911235482
[25, 362],0.015160657621513838
[274],0.013063790400725033
[274, 368],0.013063790400725033
[274, 419],0.013063790400725033
[274, 310],0.01365470557144826
[274, 449],0.010656969746814923
[130, 274],0.016977276923313207
[274, 967],0.01542460067869291
[145, 274],0.013063790400725033
[274, 346],0.013063790400725033
[145, 274, 346],0.02641440223949205
[274, 809],0.015546286507016754
[145, 274, 809],0.013268352369047633
[274, 346, 809],0.013818056887916343
[145, 274, 346, 809],0.012514826951944344
[28, 274],0.012717437684673177
[28, 145, 274],0.010010049483167846
[28, 274, 346],0.013063790400725033
[28, 145, 274, 346],0.012571198323842412
[21, 274],0.013063790400725033
[32, 274],0.013063790400725033
[274, 639],0.01053118484999674
[274, 883],0.013063790400725033
[274, 354],0.013063790400725033
[177, 274],0.013063790400725033
[177, 274, 883],0.017986698801207308
[274, 740],0.010317235271006114
[274, 740, 883],0.012264249898638495
[177, 274, 740],0.011922410008545171
[177, 274, 740, 883],0.010982085966339915
[274, 521],0.015562256081630222
[274, 862],0.013063790400725033
[274, 460],0.013063790400725033
[8, 274],0.015468229003137508
[120, 274],0.013063790400725033
[274, 766],0.013063790400725033
[205, 274],0.013063790400725033
[274, 362],0.013063790400725033
[274, 529],0.013063790400725033
[274, 438],0.013063790400725033
[274, 448],0.02055022905760836
[274, 538],0.02556974301420141
[274, 682],0.013063790400725033
[192, 274],0.018594666134622958
[73, 274],0.01660605827884384
[274, 937],0.013063790400725033
[274, 735],0.01355438347067437
[145, 274, 735],0.011517378437734432
[274, 346, 735],0.012261407001879719
[145, 274, 346, 735],0.011335136025126782
[274, 829],0.013063790400725033
[274, 631],0.01124019347654756
[240, 274],0.01661025546378188
[274, 834],0.012240782120091828
[274, 722],0.013063790400725033
[217, 274],0.013063790400725033
[274, 350],0.021630028586353878
[274, 470],0.013063790400725033
[274, 789],0.013063790400725033
[274, 684],0.013003272162479285
[274, 494],0.013063790400725033
[274, 914],0.013063790400725033
[39, 274],0.011401515952114435
[274, 692],0.013063790400725033
[274, 283],0.010606228736440763
[538],0.029101381903607285
[368, 538],0.029101381903607285
[538, 805],0.01744449205128576
[464, 538],0.011792373657512541
[538, 874],0.029101381903607285
[93, 538],0.02913184378688225
[93, 538, 874],0.023883251434540568
[538, 921],0.02486153964869164
[538, 874, 921],0.027884176681935928
[93, 538, 921],0.01311306711631869
[93, 538, 874, 921],0.010897849924806781
[538, 932],0.030370271882946644
[538, 874, 932],0.02548087513227768
[529, 538],0.029101381903607285
[538, 829],0.029101381903607285
[120, 538],0.029101381903607285
[538, 789],0.020986202719054426
[538, 546],0.014048482102451845
[120, 538, 546],0.030352224306322784
[538, 568],0.010424845999859076
[120, 538, 568],0.023682319307653087
[494, 538],0.02528596589563718
[538, 722],0.024123211756042796
[460, 538],0.029101381903607285
[368, 460, 538],0.029716939521897048
[205, 538],0.029101381903607285
[205, 368, 538],0.029101381903607285
[205, 460, 538],0.025652210913244274
[205, 368, 460, 538],0.023877345265234627
[470, 538],0.020844369989794154
[78, 538],0.029101381903607285
[538, 701],0.01526564025524272
[538, 738],0.01660326827419048
[78, 538, 738],0.01893232629699215
[147, 538],0.015346167588940033
[78, 147, 538],0.0193165977610463
[538, 569],0.01136693334207452
[509, 538],0.010563794852886632
[538, 665],0.011179863521472287
[120, 538, 665],0.011179863521472287
[538, 878],0.02088755118520938
[120, 538, 878],0.02088755118520938
[538, 780, 878],0.010985503421142443
[538, 878, 887],0.012930947984618968
[448, 538, 878],0.01312607109191399
[448, 538],0.02055022905760836
[448, 538, 780],0.016090615576407463
[448, 538, 887],0.014080610454285025
[538, 780],0.023267030926825666
[538, 780, 887],0.013685245522490983
[538, 766],0.025939384491749366
[538, 887],0.018776048597501982
[538, 862],0.018311378250826075
[538, 634],0.028969403653297338
[78, 538, 634],0.02077863913274029
[538, 614],0.01128231506417451
[438, 538],0.017019697465734295
[526, 538],0.020946877765815552
[526, 538, 937],0.019991984807643987
[538, 598],0.012924917524196104
[538, 937],0.029101381903607285
[538, 639],0.018098504258917847
[538, 639, 937],0.017607381255579306
[217, 538],0.02890127337643777
[538, 694],0.02457869695147481
[334, 538],0.023682776531971688
[510, 538],0.016648327345616592
[538, 763],0.02236865252469924
[538, 914],0.025427154602760783
[538, 707],0.01492824414966783
[538, 707, 937],0.020922627881465983
[538, 684],0.029101381903607285
[362, 538],0.02526897683211095
[32, 538],0.027715445991614237
[283, 538],0.02138259772430105
[538, 692],0.02637632251864017
