[368],0.07731956206872763
[25],0.013857130329782079
[775],0.03689929823526852
[177, 775],0.018406511935372183
[354, 775],0.010065588004207858
[75, 775],0.014012324970820028
[687],0.016866145446748384
[368, 687],0.012951137459174419
[274],0.026953765307390076
[145, 274],0.012478098918227825
[448],0.013423892475334737
[448, 887],0.011812552576294086
[448, 538],0.016343293258081325
[825],0.03058361780025892
[39, 825],0.03058361780025892
[704, 825],0.015965998424824837
[39, 704, 825],0.014155316723863205
[692, 825],0.01068284773727782
[630],0.015329268113393706
[630, 883],0.015329268113393706
[630, 789],0.010102921368602523
[538],0.03924485012666277
[368, 538],0.017544286099731347
[529, 538],0.010654371304234094
[120, 538],0.013948307949624782
[538, 878],0.014035433724235243
[460, 538],0.013461660716698095
[538, 937],0.013440634780489848
[538, 684],0.012031693945094294
[561],0.026350769585452623
[368, 561],0.010264362682663775
[561, 829],0.011186667648741842
[561, 888],0.010426013019253963
[346, 561],0.01228890879307084
[217, 561],0.018708059533810727
[561, 883],0.010448165245506904
[240],0.015018648628773123
[240, 470],0.01206400768896655
[240, 956],0.010091709190659694
[52],0.01956163020436061
[52, 598],0.010018657398502807
[834],0.014425110472142597
[120, 834],0.010050364226536284
[175, 834],0.010776186603791165
[120],0.04904848660026864
[39],0.04001628235743781
[39, 368],0.013701850592150453
[39, 470],0.011013786628298109
[39, 145],0.01668307698422162
[39, 829],0.010411260042411316
[205],0.03425097084485593
[120, 205],0.013404315842087337
[205, 883],0.01581574500542768
[205, 460],0.014164984171446945
[205, 368],0.01654821799783595
[205, 766],0.013477699444263136
[21, 205],0.010162510572228563
[205, 217],0.01036841908959129
[205, 829],0.01679787400573878
[205, 529],0.02279583568900264
[401],0.03635932470032579
[401, 684],0.020497473036391527
[401, 883],0.014821431164334768
[401, 460],0.02115686488659634
[32, 401],0.010811602828311912
[401, 571],0.01028171103147958
[401, 789],0.010304896811157753
[401, 758],0.010820576929211345
[704],0.01749759265339218
[39, 704],0.01749759265339218
[581],0.029472832555222796
[120, 581],0.012718987770490268
[581, 966],0.011339622989245072
[581, 631],0.011284423456849334
[419, 581],0.01902555026034316
[814],0.01601655364554967
[814, 829],0.01632477337021143
[854],0.029108490528493958
[419, 854],0.016313916584652675
[529, 854],0.012684637049282408
[674],0.025333791109719797
[145, 674],0.015685392040984156
[438, 674],0.01015339878922767
[283, 674],0.010542831308144157
[39, 674],0.010816062809942944
[35],0.0196760714850955
[35, 529],0.011591009953531326
[950],0.013863515755086321
[722, 950],0.010077305081432647
[766, 950],0.01160675403080875
[692, 950],0.011532501211679713
[403, 950],0.01049710664646521
[829, 950],0.013629196816783937
[529, 950],0.01331567986235696
[733],0.011569460982925859
[937],0.04592730003140772
[895],0.03386421385940397
[120, 895],0.026595683927607628
[862, 895],0.011599434013682254
[593, 895],0.011931807140573706
[766, 895],0.012446371361990501
[964],0.016038763626376785
[937, 964],0.01397753513094404
[449],0.018038903118845078
[449, 692],0.012236683678614317
[449, 470],0.012475750017891788
[449, 829],0.011131473147990149
[857],0.014768507079767805
[857, 937],0.013987419362135144
[413, 857],0.012743467247982223
[793, 857],0.011465053091654446
[21, 857],0.012618917342125344
[422],0.012509168101961314
[422, 692],0.012774707256584856
[766],0.06074370631626572
[883],0.04826981990447534
[283],0.04071032105820752
[217, 283],0.010386315404044935
[966],0.039280643672254166
[354, 966],0.010797037189863815
[438, 966],0.023876750610407588
[32, 966],0.011759352252176149
[368, 966],0.016544845744281108
[746, 966],0.010553833629268995
[692, 966],0.016199971792920983
[708],0.0115879677744442
[708, 883],0.01957165525218444
[229],0.022112822526382542
[229, 529],0.011911749318694365
[229, 692],0.013592416254260319
[229, 401],0.010223818915479705
[294],0.016758773559736612
[294, 883],0.011536992651637034
[853],0.018097429154571777
[766, 853],0.011739568727955271
[853, 883],0.018097429154571777
[571, 853],0.015605225829384202
[795, 853],0.01629782219347464
[623, 853],0.01352818445557526
[738],0.02108383080006289
[438, 738],0.01372902992211437
[529, 738],0.010137403488000185
[381],0.029752592060224133
[368, 381],0.01176223415054381
[381, 460],0.013103520628811597
[104],0.01156094896366853
[569],0.028885185924086038
[494, 569],0.011353660482010922
[470, 569],0.010025067389659617
[798],0.03193647131615806
[692, 798],0.012385816005911352
[789, 798],0.014512420625862443
[143],0.014475151232208761
[143, 460],0.019330804311606883
[620],0.020771806534374323
[120, 620],0.020771806534374323
[309, 620],0.010612854109294393
[620, 793],0.011405711067988
[529],0.06984924557842051
[682],0.040918015628887104
[682, 883],0.010363012127352158
[368, 682],0.03049828582500144
[494, 682],0.01571879633617185
[368, 494, 682],0.012417481645007422
[682, 829],0.011035994121050422
[658],0.017760422837682633
[658, 682],0.014913932238781088
[368, 658, 682],0.01281832148879692
[368, 658],0.016020979395793576
[809],0.020936417308396543
[529, 809],0.013722174873728678
[145, 809],0.013412726152164309
[809, 829],0.011374619195469353
[947],0.03578849839969653
[529, 947],0.013780736490296253
[368, 947],0.014763587101851385
[937, 947],0.011924940952266233
[923, 947],0.01514149432112745
[32, 947],0.024699756589794446
[177, 947],0.022198753492858745
[217, 947],0.027089072192935625
[285, 947],0.011258139056176501
[970],0.021605580133202948
[177, 970],0.01719312287239841
[39, 970],0.016898909178187056
[782],0.027949950898694734
[529, 782],0.027949950898694734
