[368],0.07714757906787742
[25],0.014567723584098063
[52],0.02238970858763527
[240],0.01299768345849418
[538],0.03916072039643973
[368, 538],0.01917195566456033
[529, 538],0.01163466245702341
[120, 538],0.012681486217002578
[538, 878],0.013213545762983964
[460, 538],0.011958396488678594
[538, 937],0.013501562291141567
[538, 684],0.011512860738344946
[448, 538],0.013024094794812494
[448],0.013024094794812494
[448, 887],0.011555573151916892
[630],0.014636861816514192
[630, 883],0.016615709523057166
[274],0.025829044203107852
[145, 274],0.013306892931569534
[775],0.0371834747219941
[177, 775],0.018152713634383495
[354, 775],0.011268483272643855
[75, 775],0.011768406445411737
[834],0.01325692639739184
[120, 834],0.011899659508506624
[825],0.030394365848064566
[39, 825],0.01790722641903011
[692, 825],0.012330809725963999
[704, 825],0.01731638922672603
[362, 825],0.010335512973760688
[687],0.01592570836878037
[368, 687],0.012037524611546804
[561],0.027686665234560228
[368, 561],0.01375070733018201
[561, 829],0.013337677996863244
[346, 561],0.010558594804051294
[561, 914],0.013182680732825759
[217, 561],0.018743869626106018
[561, 888],0.012414902788281728
[120],0.04870291287268012
[814],0.01718555910480407
[814, 829],0.01718555910480407
[684, 814],0.010390413823476684
[205],0.03686795103952705
[120, 205],0.013898798820121934
[205, 883],0.015667630090324493
[205, 460],0.013093972110040342
[205, 368],0.018003315537867104
[205, 766],0.0132520820676668
[205, 217],0.011286183863866173
[205, 829],0.01571869706682248
[205, 529],0.018696035496955643
[704],0.01731638922672603
[39, 704],0.018396931823981826
[581],0.02897741848524853
[120, 581],0.013371849810205772
[581, 966],0.012326528436159383
[581, 631],0.010733972413467852
[419, 581],0.01913287616368037
[368, 581],0.010264589772057037
[39],0.03984309200895442
[39, 722],0.012257259769457487
[39, 354],0.010819649907074905
[39, 368],0.0199456680368315
[39, 145],0.02544611519091066
[39, 145, 419],0.010527007724195197
[39, 283],0.012186602911479086
[39, 419],0.017650994832598157
[401],0.035724407871451834
[401, 684],0.016386303233152367
[401, 883],0.015379283096472724
[401, 460],0.020710424544302105
[32, 401],0.011471507587169558
[401, 571],0.010438290997146125
[401, 419],0.011011155936820302
[401, 789],0.01092003803285511
[401, 758],0.010881980008346233
[950],0.014394395068823862
[722, 950],0.012512846728023577
[766, 950],0.014394395068823862
[692, 950],0.01438297642137734
[692, 766, 950],0.012843327765639297
[829, 950],0.011190598292524891
[733],0.010940113148260933
[35],0.016494626581714217
[854],0.02870965440689961
[419, 854],0.020014836735465117
[529, 854],0.01364386856399139
[759],0.010128624771632741
[674],0.02369440057516599
[145, 674],0.016778951314340696
[438, 674],0.010150124030445018
[283, 674],0.010988221601898798
[32, 674],0.010817636980738825
[937],0.04726578204371999
[449],0.0180484432368123
[449, 692],0.010939612115695722
[449, 829],0.012524779441668195
[422],0.012562107635371585
[422, 692],0.012534510448817458
[895],0.03377651328025495
[120, 895],0.023585444620855753
[862, 895],0.010856905976189971
[766, 895],0.010230070480935678
[964],0.016457146851335147
[937, 964],0.014930839214528683
[857],0.015674193739838974
[857, 937],0.014027028797232884
[413, 857],0.010959572551796951
[21, 857],0.010579033695957911
[793, 857],0.01311546346482428
[766],0.063750245074963
[883],0.04654815856049227
[283],0.041117298763245436
[217, 283],0.01558002020715299
[966],0.03782557674061151
[722, 966],0.012614532328587372
[354, 966],0.010417811903021195
[438, 966],0.023544509407954765
[32, 966],0.011965739237374248
[368, 966],0.01602202649509543
[746, 966],0.010447192530685417
[692, 966],0.015143137569551338
[229],0.02025769211358549
[229, 529],0.010797833214712168
[229, 692],0.012839344387334877
[853],0.01696759761953323
[766, 853],0.013114971863674508
[853, 883],0.01696759761953323
[795, 853],0.013333309127983379
[571, 853],0.01426327738354257
[623, 853],0.013135036429486272
[738],0.02090343763203488
[438, 738],0.013937071106677669
[529, 738],0.010161090623060757
[978],0.010663576523620459
[883, 978],0.02138890064091672
[294],0.014728826926468186
[294, 883],0.012948212879491295
[381],0.030548850535519347
[368, 381],0.012657465509806074
[217, 381],0.010482791514270609
[381, 460],0.014390649408979049
[381, 829],0.010100726850668335
[708],0.013312735726120791
[708, 883],0.022364903356346836
[104],0.011098260255549582
[569],0.027434890104402396
[143],0.01414595237823475
[143, 460],0.01414595237823475
[143, 283],0.010721601757242688
[620],0.02165351001493857
[120, 620],0.020860598621081097
[798],0.03154235203291262
[692, 798],0.011969124216577634
[789, 798],0.01496294005545636
[529],0.07002339277323122
[682],0.04193499092678968
[368, 682],0.02816333411348744
[494, 682],0.015394850459119851
[368, 494, 682],0.013163915189264245
[682, 829],0.010624972811421135
[809],0.0219576917279439
[529, 809],0.012145949341827524
[145, 809],0.014260219375898886
[809, 829],0.012820053999324855
[789, 809],0.011201186417349069
[970],0.020344041765809406
[177, 970],0.01570690231513553
[185],0.015234412380167435
[185, 471],0.011385925037670126
[185, 960],0.0113426263023308
[350],0.029775475222379204
[350, 411],0.011857884655155634
[350, 354],0.012878441663019808
[350, 937],0.014015506322041663
[350, 368],0.01043798653673911
[120, 350],0.010989789254775662
[350, 803],0.011390473451112125
[32, 350],0.015740430411183188
[32, 350, 937],0.010635821967547197
[782],0.027956070121062753
[529, 782],0.027956070121062753
[598, 782],0.01263777077993506
[529, 598, 782],0.0116550994768308
[214],0.019925530802759883
[214, 354],0.019925530802759883
[120, 214],0.011137068687173759
[947],0.03638895028768079
[529, 947],0.013054875281972697
[368, 947],0.015987547615015613
[937, 947],0.011392811102218275
[923, 947],0.01275045568123392
[32, 947],0.027206645950299587
[177, 947],0.021002874482490906
[217, 947],0.02561950256399345
[285, 947],0.010314606971613084
[32, 285, 947],0.010107985078601523
[658],0.018654090567732023
[658, 682],0.012890424546373454
[368, 658, 682],0.011872591496167815
[368, 658],0.015815134081149384
[390],0.026345541919897308
[390, 829],0.012209940000013565
[390, 722],0.026345541919897308
[227, 390],0.016492001967013316
[227, 390, 722],0.014474983299802836
[12, 390],0.011231487063079987
[227],0.018349651032259964
[227, 722],0.018349651032259964
[12, 227],0.01123399513194267
[675],0.02981506685467602
[529, 675],0.012819259761119048
[675, 766],0.01021106778301465
[675, 886],0.011717334763768865
[460, 675],0.013778030008331135
[530],0.012502554833680849
[529, 530],0.012112677831148236
[368, 530],0.01057798628786547
[279],0.02793824700078645
[279, 766],0.01683205747495603
[279, 362],0.010979411658790803
[279, 914],0.012118892267463712
[145, 279],0.011442312161226922
[71],0.031904002176844845
[71, 529],0.010840268775636847
[71, 766],0.024847513530572355
[71, 354],0.020031866976508637
[71, 283],0.016740722934287054
[71, 684],0.017945623498286656
[71, 438],0.0130870091152493
[71, 937],0.019520906801840973
[208],0.01476939684434781
[208, 888],0.011937588577638483
[208, 458],0.011423989918030676
[208, 290],0.012508361958409537
[597],0.02880177202863343
[597, 766],0.01997068953780016
[177, 597],0.010759090172790746
[932],0.017945162065845562
[618],0.01300965781516067
[192],0.019955212936320212
[192, 935],0.013547584200359451
[720],0.038163606179963824
[529, 720],0.018345467630396038
[368, 720],0.015716791899323544
[720, 766],0.01222429489689346
[32, 720],0.014729310392241367
[494, 720],0.010454346072135271
[720, 780],0.010649799634137218
[280],0.01932301997238089
[217],0.05334397722297652
[878],0.021301110182121743
[120, 878],0.011037127311974723
[183],0.038924227824254885
[183, 766],0.02284113059774969
[183, 283],0.014991494080193825
[496],0.014130519322323044
[496, 529],0.013791577654666586
[706],0.019781006839060755
[653],0.025999067851861925
[529, 653],0.0165382557632476
[368, 653],0.01918130012725036
[276],0.02581911602874999
[276, 529],0.012573288328927797
[276, 914],0.01159574299624388
[277],0.010649482437780777
[277, 914],0.0175844682047345
[177],0.04666368009607591
[795],0.03101623206886768
[722, 795],0.014747434037644476
[368, 795],0.016051865101595297
[460, 795],0.01140769421749818
[623, 795],0.013733298715058222
[571, 795],0.014165677736733133
[145, 795],0.011433986058479438
[795, 914],0.01694160193528198
[571],0.029704165814065958
[571, 623],0.014115088690435536
[623],0.017407488323021098
[175],0.027569649090458694
[175, 766],0.021509448211645483
[175, 177],0.013783218503016951
[175, 494],0.015445891528792416
[175, 529],0.010830892950650426
[145, 175],0.010998011198822185
[175, 834],0.01023863691073029
[175, 910],0.013741340399085103
[424],0.015472459894437391
[910],0.014208218310642666
[766, 910],0.014208218310642666
[362, 910],0.012378663769349138
[161],0.02288131481046621
[161, 494],0.01077195941356198
[490],0.01049712793040611
[960],0.027598530733458013
[766, 960],0.022859857577645148
[829, 960],0.01671505904994529
[678, 960],0.012436756657586827
[471, 960],0.015956537369956503
[130],0.017053634624932725
[130, 914],0.011042812696438602
[125],0.01563353872050462
[461],0.01326721515087896
[461, 829],0.01326721515087896
[461, 529],0.010590084049765457
[862],0.035747557798702416
[593, 862],0.0109189959284059
[392, 862],0.014079146960054715
[120, 862],0.0246758424442856
[494, 862],0.026933561227685678
[862, 944],0.011562068138002762
[684, 862],0.011507357748611493
[368, 862],0.010159421070828702
[798, 862],0.010307348938085286
[392],0.02320020213310306
[392, 489],0.014516279501209005
[392, 684],0.011162457292740135
[392, 460],0.010066168539224448
[362, 392],0.010163146875147595
[78],0.02447993753027806
[78, 177],0.015608713830353504
[78, 529],0.011611636693146146
[78, 460],0.014433900597433779
[921],0.02493675431774015
[354, 921],0.015946276994148297
[27],0.021334924172658584
[27, 177],0.011784582284419792
[27, 354],0.020329798868199123
[27, 494],0.016020550674545424
[27, 883],0.01952268389726791
[27, 494, 883],0.013547228145688124
[900],0.012370690109616903
[829, 900],0.014075694392146624
[147],0.010308997971846853
[411],0.022196762071213235
[411, 572],0.010005146952772385
[411, 803],0.013429268301065032
[411, 579],0.01098928515716299
[411, 829],0.010987128657503339
[778],0.02478255445143179
[438, 778],0.01297746539204169
[354, 778],0.013034510400797016
[684, 778],0.011470319038359789
[579],0.021729164321969984
[350, 579],0.010931540171908996
[572, 579],0.010290459791383209
[460, 579],0.0106638343243792
[572],0.013910027509776702
[350, 572],0.011289101405379417
[572, 766],0.011197744315406708
[803],0.023329653315210863
[579, 803],0.011558694674269836
[572, 803],0.010790438557874926
[523],0.02218132651947117
[290],0.01861722445228068
