[4],0.5865767830856918
[9],0.21557912106040383
[4, 9],0.16899001730487279
[10],0.1641465894441558
[4, 10],0.11940053755044733
[9, 10],0.0441682847116399
[2],0.13544217520073942
[2, 4],0.10459313402679418
[2, 9],0.04636981184677506
[2, 4, 9],0.040255027815853495
[2, 10],0.04185478384508967
[2, 4, 10],0.03467898042075089
[2, 36],0.046285766027823756
[2, 4, 36],0.03883136441861072
[11],0.09791700544859974
[4, 11],0.07063110926963499
[9, 11],0.026754547611762554
[10, 11],0.03829895650870205
[4, 10, 11],0.030645050646577125
[2, 11],0.02697958167470631
[11, 36],0.029663129903505597
[12],0.06807756915471434
[4, 12],0.052735736825951264
[9, 12],0.02621535066955561
[4, 9, 12],0.02248217358162314
[10, 12],0.01946667780201258
[4, 10, 12],0.01606027517565879
[2, 12],0.020805270024242793
[2, 4, 12],0.017395635195266403
[12, 36],0.027146825434670688
[4, 12, 36],0.02283430850777664
[12, 31],0.014616106762697848
[1],0.01618347706492148
[1, 4],0.012463421170747342
[1, 9],0.010554094559392027
[8],0.01405384853606652
[4, 8],0.010514600572305681
[13],0.02754017463297
[4, 13],0.022339696574173378
[3],0.020430827313914223
[3, 4],0.01647008281380252
[34],0.10607776241115173
[4, 34],0.06782933300526565
[34, 36],0.033373773863736675
[43],0.09828172674500764
[4, 43],0.0752910266729906
[10, 43],0.04412750566121134
[4, 10, 43],0.03560406086054302
[36, 43],0.02660090269880019
[2, 43],0.029735939762847097
[9, 43],0.029031265626871007
[35],0.08863091934304893
[4, 35],0.06487740227839536
[35, 36],0.02551575990765717
[10, 35],0.024728437364071057
[9, 35],0.022429796598809507
[37],0.07573086437916245
[37, 43],0.020505034319197778
[9, 37],0.020654410228407933
[36, 37],0.019024098159443843
[10, 37],0.02640835107728312
[4, 10, 37],0.02151526465999428
[4, 37],0.0569386164828117
[2, 37],0.020152491394171183
[24],0.07671799296823466
[24, 35],0.041807708956686576
[4, 24, 35],0.03329441528522439
[4, 24],0.05813243505026247
[10, 24],0.01970737719803674
[24, 36],0.022951191197191707
