[55831],0.015870863281942583
[55831, 55835],0.027533570362301012
[55831, 55863],0.01029815738078314
[55831, 55871],0.016041746000051222
[55831, 55887],0.014178863398302419
[55831, 56769],0.010158077889551363
[55831, 55843],0.01246558334794665
[55295, 55831],0.011235702676635121
[55831, 55875],0.015578946859262314
[55831, 55859],0.01893135835351226
[55831, 55883],0.010699389507735267
[56225],0.01268462697273026
[55991],0.01139702697163419
[56765],0.012069629551983605
[55863],0.011876493400837781
[55863, 55875],0.015578946859262314
[55835, 55863],0.011444164510350838
[55863, 55883],0.010699389507735267
[55863, 55871],0.023823178659737015
[55843, 55863],0.01246558334794665
[55859, 55863],0.02032193426716572
[55863, 55879],0.010928712983459217
[55863, 253749],0.014822020856990312
[55879],0.010928712983459217
[55875, 55879],0.015578946859262314
[55871, 55879],0.01927238338826311
[55859, 55879],0.017014563762255287
[55879, 55883],0.010699389507735267
[55843, 55879],0.01246558334794665
[55879, 253749],0.010363023567505151
[55835],0.027533570362301012
[55835, 55875],0.010776451919353048
[55351, 55835],0.010858940290834816
[55835, 55887],0.01307486390113992
[55835, 55883],0.012505658852019902
[55835, 55871],0.010482725093415399
[55835, 55843],0.010793808001643345
[55323],0.0364732881114988
[55323, 55327],0.025068219527477658
[55319, 55323, 55327],0.01491607364177411
[55283, 55323, 55327],0.011063989464140384
[55295, 55323],0.01656955202386494
[55295, 55323, 55327],0.01578055709043192
[55295, 55319, 55323],0.021810471666585285
[55295, 55323, 55335],0.012388495213821406
[55295, 55323, 55339],0.013307583107671508
[55291, 55295, 55323],0.018769550106471092
[55295, 55307, 55323],0.011693454435876865
[55287, 55295, 55323],0.01349782578946749
[55267, 55295, 55323],0.01968354025962616
[55295, 55315, 55323],0.025052179344754618
[55271, 55295, 55323],0.013288987618207179
[55323, 55875],0.010724653169990519
[55275, 55323],0.014846924222745686
[55287, 55323],0.01349782578946749
[55287, 55319, 55323],0.017979870883989977
[55287, 55323, 55335],0.012388495213821406
[55267, 55287, 55323],0.020548831059807888
[55271, 55287, 55323],0.010668587033126753
[55323, 55351],0.029013320829260544
[55287, 55323, 55351],0.016657917494982046
[55319, 55323, 55351],0.023008759122177896
[55295, 55323, 55351],0.013336686356739116
[55323, 55339, 55351],0.010577582079212663
[55291, 55323, 55351],0.013825080216789326
[55315, 55323, 55351],0.0152895614733745
[55267, 55323, 55351],0.011960480027189664
[55283, 55323, 55351],0.01075682678806835
[55267, 55323],0.03638732679664001
[55267, 55315, 55323],0.02206455440948462
[55267, 55319, 55323],0.020719917891002082
[55267, 55271, 55323],0.017843851997101288
[55267, 55291, 55323],0.016159619714052425
[55323, 55543],0.014267363106225813
[55323, 55463],0.010343853295309378
[55319, 55323],0.03702638595466754
[55319, 55323, 55339],0.013534103255647573
[55271, 55319, 55323],0.017098783631705954
[55319, 55323, 55335],0.01171488820518521
[55315, 55319, 55323],0.025052179344754618
[55283, 55319, 55323],0.010035405770355745
[55291, 55319, 55323],0.016196264687567172
