[368],0.08105530710004748
[775],0.04160723604753287
[368, 775],0.028089896355793734
[177, 775],0.04160723604753287
[684, 775],0.03990797337615748
[354, 775],0.04160723604753287
[775, 966],0.017356185428235377
[460, 775],0.017709311870019447
[438, 775],0.019449613173746633
[775, 862],0.03763856704685103
[775, 778],0.015017180946499521
[529, 775],0.03335381380293887
[120, 775],0.018100890985156604
[362, 775],0.013298008829393691
[766, 775],0.024624845646044953
[692, 775],0.011148059190173518
[494, 775],0.024968722991318547
[775, 829],0.03469547867240225
[419, 775],0.019390531370777182
[720, 775],0.02479626528595239
[217, 775],0.026030556590562543
[775, 789],0.014736733530290773
[682, 775],0.021255087526977925
[775, 885],0.016113014046679214
[722, 775],0.02029973308197153
[775, 919],0.0140568490683043
[775, 883],0.02938302895288794
[676, 775],0.01164757958664654
[145, 775],0.010807123615800818
[538],0.03949790959579105
[368, 538],0.03949790959579105
[538, 775],0.02820854622445956
[538, 874],0.027072934189818793
[538, 874, 932],0.011803628583830177
[538, 932],0.018243765603947505
[390, 538],0.010885497667662876
[93, 538],0.026998606758178986
[93, 538, 932],0.011588357046484364
[538, 921],0.01971695431890797
[529, 538],0.03949790959579105
[538, 598],0.010795643779105758
[464, 538],0.012342658997603619
[538, 829],0.03339544254819261
[538, 789],0.021501376511653535
[120, 538],0.03949790959579105
[494, 538],0.028409413287571586
[538, 722],0.03132484959428042
[460, 538],0.03949790959579105
[368, 460, 538],0.04746462740649436
[526, 538],0.03418111742118171
[205, 538],0.02894850561889686
[205, 368, 538],0.018129324088706086
[205, 460, 538],0.019429547644435153
[205, 368, 460, 538],0.016587858025712665
[538, 895],0.013355918673217762
[470, 538],0.01016214415274889
[538, 834],0.011522433256786714
[78, 538],0.028502880052979372
[538, 634],0.021911017018333912
[538, 819],0.018322996096663983
[538, 966],0.013335829351467106
[538, 778],0.014465912313803465
[538, 665],0.019064885215523082
[120, 538, 665],0.0161977448259529
[538, 546],0.012676530845698097
[120, 538, 546],0.02048842576901085
[538, 981],0.0106828500635479
[120, 538, 981],0.012110423691488148
[538, 854],0.010765726219650147
[538, 766],0.024871267644486668
[448, 538],0.01599203451678281
[538, 780],0.03435610151272385
[448, 538, 780],0.014162400312297542
[538, 862],0.01692119279272581
[522, 538],0.015331209049752681
[438, 538],0.021559558135431176
[538, 738],0.017024633437456166
[147, 538],0.013963292279025779
[538, 919],0.028565413634501626
[538, 676],0.016077139911240663
[538, 937],0.03363310669858057
[217, 538],0.02534257954435003
[510, 538],0.016698912214412442
[538, 694],0.010874437999286442
[334, 538],0.018911181855676116
[75, 538],0.01435078807378831
[538, 814],0.03538147026971626
[538, 684, 814],0.028528381810443315
[538, 914],0.031846491857699326
[538, 707],0.01572505710531635
[538, 684],0.03949790959579105
[538, 692],0.0286076056980358
[362, 538],0.028079980314042154
[32, 538],0.02912892730201622
[283, 538],0.026207127033138804
[538, 956],0.013972941705401356
[538, 788],0.02040564204558309
[538, 788, 814],0.012563559108949832
[538, 684, 788, 814],0.01208885736379913
