[368],0.07803798331728587
[368, 829],0.0647168896276207
[368, 529, 829],0.020622763840438128
[368, 529],0.021414669288858674
[730],0.014014038254274636
[52, 730],0.02203717595535784
[730, 789],0.012394895432668702
[834],0.01770144751692123
[368, 834],0.01770144751692123
[205, 834],0.02308998694940737
[581, 834],0.016843783268006184
[722, 834],0.011377770034430565
[789, 834],0.01770144751692123
[494, 834],0.01770144751692123
[538, 834],0.027096617037470905
[834, 975],0.013879854142507708
[120, 834],0.022616255238849328
[766, 834],0.012689286954561653
[832, 834],0.01938985434142303
[175, 834],0.026098454881769494
[12, 834],0.012168191777287559
[274, 834],0.013957606055876088
[240, 834],0.013361120115061739
[240, 538, 834],0.011689138605165171
[448, 834],0.022449883851011005
[145, 834],0.011036894372214041
[332, 834],0.01509098658497899
[6, 834],0.01921995411094829
[529, 834],0.01770144751692123
[829, 834],0.01770144751692123
[240],0.013361120115061739
[240, 368],0.013361120115061739
[240, 470],0.013361120115061739
[75, 240],0.03009522445828414
[75, 240, 470],0.02735961730975916
[240, 262],0.011661184809614193
[240, 262, 470],0.022039174357231198
[75, 240, 262],0.011154561742898026
[75, 240, 262, 470],0.011154561742898026
[240, 541],0.03697206126222356
[240, 541, 956],0.010728949570726199
[236, 240, 541],0.010365994289037462
[17, 240, 541],0.014013544833213761
[236, 240],0.02699664826493691
[240, 956],0.02996964336697345
[236, 240, 956],0.01484792376782466
[17, 240, 956],0.011607251273391845
[17, 240],0.022315363016805242
[240, 438],0.013361120115061739
[240, 354],0.013361120115061739
[217, 240],0.013361120115061739
[240, 692],0.013361120115061739
[240, 991],0.012543550209693142
[240, 597],0.0294105490000304
[240, 470, 597],0.0294105490000304
[240, 722],0.010853388557983405
[240, 982],0.01439972254500369
[240, 598],0.01971334067793824
[240, 766],0.013361120115061739
[240, 829],0.013361120115061739
[39, 240],0.013361120115061739
[240, 274],0.013957606055876088
[32, 240],0.010503351472528892
[240, 529],0.013361120115061739
[240, 448],0.022449883851011005
[240, 538],0.023492890697079532
[12, 240],0.010724192053615246
[240, 494],0.013361120115061739
[240, 419],0.013345748949230045
[240, 682],0.010792365217907801
[561],0.031264737082353423
[368, 561],0.031264737082353423
[529, 561],0.02581968349812292
[561, 829],0.031264737082353423
[561, 789],0.02324009640700486
[346, 561],0.031264737082353423
[217, 346, 561],0.07346863255330074
[561, 914],0.031264737082353423
[561, 758],0.0272105289051503
[561, 758, 914],0.024257776915592406
[561, 919],0.024525766688896656
[561, 914, 919],0.021008747471961936
[217, 561],0.031264737082353423
[561, 826],0.011959013353313206
[561, 605],0.01876588207692957
[346, 561, 605],0.016050137697774053
[561, 967],0.010159165584023173
[561, 883],0.031264737082353423
[32, 561],0.018740686308310515
[354, 561],0.029002529573608913
[561, 593],0.011687110698356115
[112, 561],0.012797490780237925
[274, 561],0.011856507980376985
[494, 561],0.01693786306959244
[561, 722],0.01751405177462907
[419, 561],0.022954837483498955
[561, 888],0.03811561368910255
[217, 561, 888],0.030892056805323975
[346, 561, 888],0.03811561368910255
[217, 346, 561, 888],0.02952059717459444
[177, 561],0.031264737082353423
[161, 561],0.012465943672089969
[561, 687],0.014106514031385044
[368, 561, 687],0.012721850062675288
[12, 561],0.012701007501895574
[259, 561],0.011279496613360083
[411, 561],0.017094923312558897
[411, 561, 829],0.012131798017743353
[561, 766],0.027368865533378146
[477, 561],0.017193762926240596
[346, 477, 561],0.011828907401554076
[39, 561],0.013704611209067276
[145, 561],0.016269556623821707
[561, 886],0.011712957806874577
[561, 692],0.022722818861688674
[561, 798],0.010001670095575541
[385, 561],0.01572044953691569
[385, 561, 883],0.013024169770536451
[332, 561],0.02477829726675969
[332, 561, 682],0.014649681409931078
[470, 561],0.013755208171963377
[279, 561],0.011922472856458258
[205, 561],0.012163616598332417
[204, 561],0.014653234111646467
[111, 561],0.010722912178056323
[438, 561],0.024966790648600315
[561, 684],0.024555421733864612
[561, 682],0.030151394282676294
[561, 800],0.015395079398985155
[561, 800, 829],0.014841355075322245
[398, 561],0.010935826127184125
[561, 862],0.022165942961342156
[561, 944],0.017599093251575278
[561, 883, 944],0.015518205942186253
[396, 561],0.013832353927286854
[396, 561, 883],0.016359378707615106
[561, 651],0.01036686099092599
[775],0.03936334185812576
[368, 775],0.03936334185812576
[177, 775],0.03936334185812576
[27, 775],0.018614603458115494
[78, 775],0.019537359949160192
[78, 177, 775],0.019537359949160192
[78, 259, 775],0.011556766402161552
[78, 177, 259, 775],0.011540919780491805
[354, 775],0.03936334185812576
[12, 775],0.03718826465335599
[12, 39, 775],0.018514162271117303
[684, 775],0.03936334185812576
[775, 937],0.011248552451796684
[470, 775],0.02370401869994177
[522, 775],0.015547598485621953
[775, 964],0.010526003110735255
[259, 775],0.012989647286992437
[177, 259, 775],0.024324985784241072
[438, 775],0.02628799232091659
[775, 862],0.038605933253227316
[775, 918],0.020101288238121986
[775, 781],0.021389586881943895
[177, 775, 781],0.021389586881943895
[775, 886],0.011532896996770882
[413, 775],0.010806083077822994
[75, 775],0.03106943203920965
[529, 775],0.03590902483548466
[283, 775],0.010026701289740989
[775, 832],0.01938985434142303
[120, 775],0.010494334100390228
[775, 970],0.017542311762125933
[72, 775],0.017271779885377446
[239, 775],0.03269827622070728
[132, 775],0.012744436464073661
[775, 895],0.011338353676001651
[32, 775],0.025012116007738495
[487, 775],0.02552689809865124
[718, 775],0.010459920824359852
[548, 775],0.024268174571799184
[775, 788],0.010719086584957278
[39, 775],0.03936334185812576
[766, 775],0.03936334185812576
[775, 914],0.032526008243737296
[362, 775],0.010253431981843053
[663, 775],0.018666286199282785
[687, 775],0.013401996315989952
[706, 775],0.017031397735782407
[494, 775],0.030385907930789033
[692, 775],0.027648912380671
[775, 829],0.035763528454571474
[578, 775],0.013606003750774049
[593, 775],0.011944520348496326
[419, 775],0.025039874010500753
[775, 998],0.013996817434941586
[694, 775],0.013512546374990943
[346, 775],0.01954504528614761
[217, 346, 775],0.01215089654818647
[214, 775],0.010181442167444184
[217, 775],0.034933928824496745
[310, 775],0.01017233235018241
[775, 789],0.019761695693829077
[472, 775],0.016119459061311372
[354, 472, 775],0.012860726375783983
[682, 775],0.017526023979290987
[322, 775],0.016130445543995047
[308, 775],0.019257001362825262
[775, 947],0.01078309348817881
[722, 775],0.03175405384112384
[775, 883],0.03591737511823371
[758, 775],0.010353845055732325
[775, 805],0.018186459840797076
[538, 775],0.010597421060064218
[242, 775],0.015712404343686738
[212, 775],0.010640461274970175
[775, 798],0.01702942284147467
[145, 775],0.019616674942717023
[116, 775],0.020369551129004456
[116, 354, 775],0.013030851662037265
[390, 775],0.011615544702814408
[598, 775],0.011529759533947024
[558, 775],0.013726168245261468
[624, 775],0.012235106938531337
[354, 624, 775],0.013828111878622167
[489, 775],0.015945628428680622
[183, 775],0.01271664443573351
[54, 775],0.012102523261212979
[775, 919],0.01012092956465932
[274],0.013957606055876088
[274, 368],0.013957606055876088
[274, 722],0.013957606055876088
[274, 419],0.013957606055876088
[73, 274],0.021959218334464615
[274, 310],0.0255193861630124
[274, 449],0.015170521032831417
[274, 967],0.015991621297281336
[130, 274, 967],0.011768673089162187
[274, 432],0.020301984668633866
[130, 274],0.018610157646868467
[145, 274],0.013957606055876088
[274, 346],0.013957606055876088
[145, 274, 346],0.04144907794235128
[274, 809],0.0211397269473527
[145, 274, 809],0.017608726618510505
[274, 346, 809],0.018863312229354168
[145, 274, 346, 809],0.01666448154894723
[32, 274],0.013957606055876088
[192, 274],0.011297423466503592
[274, 639],0.01193689376465842
[274, 521],0.013957606055876088
[274, 354],0.013957606055876088
[274, 883],0.013957606055876088
[177, 274],0.013957606055876088
[177, 274, 883],0.018374201487786682
[274, 862],0.013957606055876088
[274, 740],0.011395417411173702
[274, 740, 883],0.010922028371163935
[274, 766],0.013957606055876088
[274, 820],0.010100042298301786
[274, 529],0.013957606055876088
[274, 438],0.013957606055876088
[274, 538],0.026584361631761855
[274, 448],0.017916777278210873
[274, 593],0.01086926684981813
[274, 682],0.013957606055876088
[274, 735],0.016294286822404077
[145, 274, 735],0.016294286822404077
[274, 346, 735],0.016294286822404077
[145, 274, 346, 735],0.019549584159751065
[274, 631],0.013234018721255568
[274, 487],0.013957606055876088
[33, 274],0.016471502666435846
[274, 981],0.014589650765021427
[118, 274],0.010694855333649835
[274, 424],0.020473994190063113
[8, 274],0.023216452639631173
[274, 829],0.013957606055876088
[217, 274],0.013957606055876088
[274, 350],0.01712274697856487
[274, 470],0.011810920419404533
[274, 886],0.01096893553192543
[157, 274],0.01362228080433965
[145, 157, 274],0.01362228080433965
[157, 274, 346],0.01362228080433965
[145, 157, 274, 346],0.014055399813785428
[274, 789],0.013957606055876088
[274, 684],0.013957606055876088
[274, 494],0.013957606055876088
[274, 914],0.013957606055876088
[274, 798],0.013957606055876088
[39, 274],0.013957606055876088
[274, 692],0.013957606055876088
[164],0.01000953821933692
[164, 368],0.01000953821933692
[164, 494],0.01000953821933692
[164, 782],0.01152599868117352
[164, 825],0.02741015488782674
[164, 766],0.01000953821933692
[448],0.022449883851011005
[368, 448],0.01966154634338398
[448, 887],0.014656104604450774
[448, 538, 887],0.012543309777107358
[448, 780, 887],0.010440800281079136
[448, 538],0.038171853384820785
[448, 766],0.0127484367690776
[448, 780],0.02415437668103188
[448, 538, 780],0.011960907008617391
[448, 529],0.016587201715728934
[438, 448],0.010102812997928087
[354, 448],0.013062983144295489
[448, 684],0.012657810259694837
[448, 641],0.014628836078027948
[448, 914],0.022449883851011005
[32, 448],0.022449883851011005
[32, 448, 914],0.02327139578561859
[239, 448],0.012334531997559822
[239, 448, 914],0.01055619280500581
[32, 239, 448],0.01008340975278586
[448, 674],0.0163691535600336
[448, 674, 914],0.013266336358658285
[32, 448, 674],0.012771817983332568
[448, 540],0.014887164789058915
[448, 829],0.013366872550463928
[39, 448],0.01212055128651137
[538],0.038171853384820785
[368, 538],0.038171853384820785
[368, 538, 829],0.01004105652962467
[538, 805],0.038171853384820785
[538, 874],0.029111617991857054
[93, 538],0.019698609421796708
[93, 538, 921],0.012435277627624522
[538, 932],0.01932350104256169
[538, 921, 932],0.013487220410801639
[538, 921],0.023567858260025394
[529, 538],0.038171853384820785
[538, 782],0.01145473935271427
[538, 829],0.038171853384820785
[538, 789],0.021983722968287402
[120, 538],0.0341171213681424
[136, 538],0.012233755997517904
[538, 568],0.010832989552133588
[538, 981],0.014589650765021427
[147, 538],0.01610511404624356
[494, 538],0.024948612970393122
[172, 538],0.01616216409473769
[538, 722],0.03730528034846326
[470, 538],0.018909832937840397
[205, 538],0.026981122333883226
[205, 368, 538],0.013815875806079871
[112, 538],0.01800202178964598
[277, 538],0.010003201415127838
[538, 798],0.016455272365100936
[538, 854],0.010858423654016137
[12, 538],0.025107083626370243
[538, 887],0.014656104604450774
[538, 766],0.03309731137943824
[538, 862],0.02511536410346435
[538, 780],0.02415437668103188
[538, 780, 887],0.014181152583191432
[52, 538],0.02203717595535784
[522, 538],0.011565970414851759
[538, 614],0.015334357544717342
[538, 634],0.03250649947557173
[438, 538],0.026377462566333013
[78, 538],0.019537359949160192
[538, 738],0.021407837541894674
[460, 538],0.025312692674120944
[368, 460, 538],0.014611834154546083
[538, 919],0.011642496899346296
[538, 639],0.021021568818237826
[526, 538, 639],0.01018581921872915
[538, 639, 805],0.0145310430929208
[285, 538],0.012337959851324902
[217, 538],0.02619928634062285
[538, 941],0.013755139831126115
[510, 538],0.02997176361156439
[538, 778],0.010255573352669857
[538, 814],0.02266607967772073
[538, 684, 814],0.01945538248594655
[538, 914],0.02582621822267677
[538, 707],0.013649279726614933
[526, 538, 707],0.011134506132357214
[538, 684],0.038171853384820785
[490, 538],0.010747088062505671
[490, 538, 684],0.0165200705554984
[538, 692],0.037807477473830224
[362, 538],0.010962629460412331
[538, 788],0.018221745341164098
[538, 684, 788],0.012869896596952727
[283, 538],0.013939132627544011
[538, 746],0.010247421590409015
[538, 956],0.02139517879082135
[538, 819],0.014601179482660868
[69, 538],0.01151231900476102
[346, 538],0.019863195428834482
[526, 538],0.03224603282764843
[538, 937],0.03830893689606773
[334, 538],0.02520555099584791
[538, 886],0.016436575750465254
[419, 538],0.027002037131561744
[39, 538],0.027504916864984998
[538, 763],0.023249512499025786
[538, 593],0.013568620576059459
[354, 538],0.03615012346173726
[538, 682],0.028185768097510222
[413, 538],0.01145013123055575
[538, 541],0.011215290045512081
[538, 793],0.01177159763369601
[538, 694],0.026396828565178016
[538, 800],0.010434088262641684
[242, 538],0.012700678145693247
[538, 661],0.022717600361042537
[489, 538],0.021245790037358457
[538, 687],0.010076632124810556
[538, 701],0.017151915060253604
[538, 701, 805],0.014274636740046948
[129, 538],0.010096497009970949
[41, 538],0.013377554149819863
[538, 581],0.010078475428910466
[332, 538],0.015198669412861533
[214, 538],0.010344773875139329
[538, 947],0.013468208474067737
[145, 538],0.020831757421603352
[177, 538],0.03282862395883616
[21, 538],0.014858636116880528
[32, 538],0.02491820743425237
[8, 538],0.013463587207011761
[538, 883],0.02479985353228169
[538, 966],0.011291890495006144
[52],0.02203717595535784
[52, 368],0.02203717595535784
[52, 145],0.02203717595535784
[52, 676],0.015599803206277215
[52, 829],0.02203717595535784
[52, 217],0.014787039070199036
[52, 789],0.014140993166634917
[52, 334],0.013634912007786376
[52, 529],0.016438290340874313
[52, 593],0.02203717595535784
[52, 120],0.011162109333830562
[52, 918],0.02846636192222446
[52, 593, 918],0.01888830655046388
[52, 774],0.022491795952876273
[52, 593, 774],0.017284031735756558
[52, 469],0.013579089796723025
[52, 469, 593],0.01768441212827271
[52, 510],0.019686287769553373
[52, 862],0.013486331427199712
[52, 722],0.017437340951569257
[48, 52],0.015138309368770574
[52, 914],0.011997423229322759
[52, 470],0.010214373885362293
[52, 598],0.024228805280793485
[52, 661],0.025505752633396
[52, 593, 661],0.018298297888049462
[52, 419],0.016791793841146558
[52, 798],0.015601896174429536
[52, 766],0.021238694908527544
[52, 886],0.012720996193464482
[39, 52],0.01429408347637157
[52, 494],0.012612518886322114
[52, 883],0.01555160361650276
[52, 692],0.017656296181690588
[52, 354],0.016028698241322907
[52, 941],0.013755139831126115
[32, 52],0.014631076418300361
[52, 653],0.025904349447866824
[52, 593, 653],0.018599661967512934
[52, 684],0.01620541121443709
[52, 438],0.018428017608179224
[52, 682],0.01315783570021685
[687],0.015684856639024365
[368, 687],0.015684856639024365
[687, 798],0.015684856639024365
[440, 687],0.0139425836418414
[12, 687],0.011110358906672401
[687, 766],0.015684856639024365
[687, 722],0.015684856639024365
[687, 722, 766],0.01910295583378396
[687, 914],0.015684856639024365
[368, 687, 914],0.013754297233206895
[687, 829],0.015684856639024365
[529, 687],0.015684856639024365
[623, 687],0.012254877068222378
[494, 687],0.014278577629874202
[335, 687],0.026111319452092822
[335, 617, 687],0.01026918497793014
[617, 687],0.02597716509610921
[684, 687],0.015684856639024365
[687, 692],0.015684856639024365
[332, 687],0.015684856639024365
[682, 687],0.013518255449320662
[687, 862],0.013136237142177173
[32, 687],0.011403562380673192
[634, 687],0.01390799126783356
[687, 690],0.011178097162589704
[229, 687],0.015094200959981983
[687, 910],0.016016296854215992
[687, 798, 910],0.017521949374156406
[48, 687],0.016947494909932755
[48, 332, 687],0.014468191026625785
[438, 687],0.01386539186886571
[145, 687],0.010634099443840127
[687, 789],0.015684856639024365
[687, 886],0.010215770192951874
[419, 687],0.015684856639024365
[354, 687],0.015684856639024365
[217, 687],0.015684856639024365
[44, 687],0.020470545123132337
[44, 687, 798],0.024977700057988193
[504, 687],0.015543157344998752
[332, 504, 687],0.015543157344998752
[215, 687],0.011710925496032797
[563, 687],0.014035872160707574
[332, 563, 687],0.013082409940488818
[687, 883],0.010654200057718976
[177, 687],0.010254417832227698
[687, 765],0.0102598243438122
[825],0.028823996805296452
[368, 825],0.028823996805296452
