[368],0.08159700695760835
[25],0.01333075945761927
[825],0.030609372667700478
[39, 825],0.030609372667700478
[704, 825],0.017553355124199498
[39, 704, 825],0.017783557144304706
[692, 825],0.011959309826691482
[362, 825],0.010309186465324801
[834],0.013563254853570638
[120, 834],0.011347490988214694
[775],0.03696870569603918
[177, 775],0.01611250001515438
[354, 775],0.0116982784355809
[75, 775],0.012074034584184904
[448],0.01319026783380412
[448, 538],0.013133562100541623
[274],0.02496835547274633
[145, 274],0.014699834468164577
[52],0.019368315885655872
[52, 598],0.011354330001207712
[538],0.038756870773114196
[368, 538],0.01898613612479395
[529, 538],0.011683728514051058
[120, 538],0.013025351108583924
[538, 878],0.012853134682613919
[460, 538],0.013188684255723155
[538, 937],0.015533851347894336
[538, 684],0.012270473591191516
[240],0.01264460675981329
[240, 470],0.01074429231535153
[630],0.014776467545664496
[630, 883],0.01852419470980401
[561],0.026298466730770482
[368, 561],0.010694138092578718
[561, 829],0.013975617317773744
[346, 561],0.013172579588421664
[561, 888],0.011007116568319547
[217, 561],0.01878181972076279
[687],0.017232738401022293
[368, 687],0.010816582508524426
[120],0.050091814527375586
[39],0.04214641525508965
[39, 368],0.012555083256182991
[39, 145],0.015681123266683614
[39, 419],0.012264182441238747
[581],0.02684303515665691
[120, 581],0.012377188659346214
[581, 966],0.010411204140464269
[419, 581],0.017451897900460856
[205],0.03537475438469115
[120, 205],0.01465062198599354
[205, 883],0.01619806762925405
[205, 460],0.013444701140542357
[205, 368],0.015781016144610506
[205, 766],0.014564848545769072
[205, 217],0.010258944035436689
[205, 829],0.01636864502257744
[205, 529],0.019789556905878126
[704],0.017553355124199498
[39, 704],0.017553355124199498
[814],0.017397824724751064
[814, 829],0.018195054128241406
[401],0.03486732574824766
[401, 684],0.01671667537268476
[401, 883],0.014226903320991918
[401, 460],0.019405272825769378
[401, 571],0.010678035164470655
[733],0.011417783228825144
[854],0.02659527246516575
[854, 899],0.010055476323837534
[419, 854],0.017711953073335927
[529, 854],0.013911087546081037
[35],0.01979432504652971
[35, 368],0.010103822493846747
[35, 529],0.010481154756874602
[950],0.01461765326301383
[722, 950],0.011214954283385514
[766, 950],0.014532973909204536
[692, 950],0.013510059409309166
[692, 766, 950],0.0119109423900314
[829, 950],0.011725420219587779
[529, 950],0.011268009439131296
[674],0.02511216811141554
[529, 674],0.010052838746354934
[145, 674],0.016291859030091973
[438, 674],0.011706267486318155
[39, 674],0.010490266272173964
[937],0.04593318145164082
[368, 937],0.013197493176846153
[895],0.03356717460489565
[120, 895],0.025860794028749405
[368, 895],0.011369345600597927
[593, 895],0.011698917921914905
[120, 593, 895],0.011217753077694237
[862, 895],0.010648256392028798
[766, 895],0.013751731545064276
[857],0.015911111863685302
[857, 937],0.01549842452788227
[21, 857],0.01230833719227773
[793, 857],0.012726565708638804
[413, 857],0.012630512410921972
[449],0.01868579270382416
