[13],0.021817035290124045
[4, 13],0.011269294144055387
[8],0.01136421898301815
[12],0.05793438352358786
[2, 12],0.010939286431955375
[4, 12],0.028448361067566538
[12, 36],0.014452020413008476
[9, 12],0.01425127132382266
[10, 12],0.010161756589606497
[3],0.016877338460111052
[1],0.013859518553044032
[11],0.0981765878657942
[11, 36],0.018904219122397266
[4, 11],0.044678745129316334
[11, 37],0.012533020784979304
[11, 34],0.011140101258808686
[9, 11],0.018663669989352514
[10, 11],0.025252049390796442
[11, 43],0.01654531758229546
[11, 31],0.011434135124563722
[2, 11],0.0184591667863095
[11, 35],0.010088795054701621
[11, 82],0.010214372752230541
[9],0.21650948033622758
[2, 9],0.03195615621194595
[4, 9],0.1042195018864463
[4, 9, 36],0.013768276363262104
[9, 64],0.01918907638735794
[9, 36],0.047410454107461794
[9, 10],0.03065056225857827
[9, 37],0.013897552258784949
[9, 62],0.010413210460700022
[9, 31],0.020544547229725173
[9, 82],0.01300889111464421
[9, 35],0.015756933955457828
[9, 43],0.02042353021141158
[9, 63],0.011267306230981407
[9, 54],0.013289187786727849
[9, 173],0.03525214721850684
[9, 110],0.023347767215263444
[9, 174],0.01213646803203427
[9, 71],0.011050128265686746
[9, 24],0.012988218513747174
[9, 66],0.013000255589600372
[9, 34],0.018289450441907325
[9, 230],0.018895309594070982
[9, 93],0.01084879174565554
[9, 87],0.018655054838583124
[9, 38],0.010908765922039201
[9, 128],0.014932011155744012
[2],0.13715166570485213
[2, 34],0.016740839155837173
[2, 31],0.020563709938802115
[2, 38],0.010640493988588663
[2, 36],0.030745449357138216
[2, 63],0.011569376904026932
[2, 93],0.012002330508625352
[2, 10],0.027700070474233774
[2, 82],0.011797362010469412
[2, 43],0.020322630321690998
[2, 54],0.010589709515896186
[2, 66],0.012878745504875356
[2, 87],0.010013477700028266
[2, 4],0.0677177678817011
[2, 35],0.015167422074072826
[2, 64],0.011916413087347132
[2, 37],0.013541480222730355
[2, 71],0.01085075842626205
[2, 24],0.012113088121272325
[4],0.5875185175961914
[4, 60],0.012405028426723157
[4, 36],0.09822387616964151
[4, 29],0.015780335872817425
[4, 66],0.0328000894731668
[4, 65],0.014573427200278596
[4, 10],0.07490076274948596
[4, 75],0.023621365130377835
[4, 34],0.04302668662934281
[4, 43],0.04878365158666563
[4, 82],0.032707691504364624
[4, 31],0.050609476669833134
[4, 84],0.019261608978174288
[4, 63],0.02941475055710879
[4, 93],0.025532346526034803
[4, 54],0.02879016045187578
[4, 87],0.024282176899206153
[4, 97],0.01706271369205581
[4, 99],0.020345129205004423
[4, 37],0.03679989284125288
[4, 38],0.030160060071715143
[4, 24],0.03559663554835573
[4, 35],0.04164676394102518
[4, 140],0.023061427411323724
[4, 137],0.011093771715451967
[4, 64],0.03473994244272298
[4, 33],0.010459443892149338
[4, 146],0.01507497864793892
[4, 30],0.010246016491431423
[4, 158],0.017331007733148936
[4, 128],0.01749011681987667
[4, 62],0.024552386818549217
[4, 157],0.011239262499141749
[4, 173],0.0331727422315977
[4, 110],0.025718918017581843
[4, 174],0.014971496367651963
[4, 20],0.011409099197784536
[4, 185],0.01149658210976551
