[368],0.07222320597151437
[274],0.02290348183274943
[274, 368],0.02290348183274943
[274, 722],0.02290348183274943
[274, 419],0.02290348183274943
[71, 274],0.013312527858023922
[118, 274],0.02290348183274943
[130, 274],0.02290348183274943
[130, 274, 362],0.014715037713026227
[130, 274, 529],0.010257212289705985
[130, 274, 722],0.011333226283483107
[130, 274, 829],0.013536921150460561
[130, 274, 368],0.01232612559951206
[145, 274],0.02290348183274943
[192, 274],0.02290348183274943
[21, 274],0.02290348183274943
[32, 274],0.022029630061328388
[54, 274],0.02290348183274943
[32, 54, 274],0.010002550968122035
[239, 274],0.02290348183274943
[54, 239, 274],0.010133182828538588
[70, 274],0.010157643188415687
[274, 354],0.021927804412283102
[274, 883],0.02290348183274943
[177, 274],0.02290348183274943
[177, 274, 883],0.01838208489991487
[274, 862],0.020632020062436463
[8, 274],0.02290348183274943
[43, 274],0.013865437976411365
[120, 274],0.02290348183274943
[12, 274],0.011294935018597477
[140, 274],0.010646686360474347
[274, 766],0.02290348183274943
[205, 274],0.02290348183274943
[6, 274],0.015041056644870064
[31, 274],0.010856029258460628
[132, 274],0.011464091247640355
[274, 362],0.02290348183274943
[274, 529],0.02290348183274943
[274, 438],0.02036934793082946
[112, 274],0.017279554014333377
[48, 274],0.012856988504258607
[10, 274],0.011893251921539411
[274, 720],0.020981688220437826
[210, 274],0.010288804198329105
[204, 274],0.011081527619420627
[274, 829],0.02290348183274943
[57, 274],0.016064493329482066
[217, 274],0.015604194097098333
[69, 274],0.017466187447762682
[90, 274],0.012352556068418246
[274, 758],0.015058219366275036
[183, 274],0.01686953511341503
[274, 789],0.020607238348115953
[274, 684],0.02290348183274943
[274, 494],0.01929886852776078
[274, 606],0.012810963694562428
[274, 914],0.02290348183274943
[175, 274],0.010642913404551287
[236, 274],0.011361035503910145
[39, 274],0.013490713435905024
[72, 274],0.015067467106268254
[38, 274],0.012673958342636153
[27, 274],0.011771550755343143
[75, 274],0.012747528266208187
[1, 274],0.01022621989778697
[229, 274],0.013437123714859455
[448],0.018361397661400776
[368, 448],0.018361397661400776
[274, 448],0.018361397661400776
[448, 494],0.010016633129728206
[448, 766],0.011909244490005485
