[368],0.06823624984860815
[368, 766],0.023307727855678625
[538],0.043301441256695924
[368, 538],0.043301441256695924
[529, 538],0.03795270608186989
[538, 829],0.023599330967603076
[120, 538],0.030078665580780206
[494, 538],0.0317100821707436
[538, 722],0.023438985317970448
[460, 538],0.043301441256695924
[368, 460, 538],0.030669343553513202
[538, 966],0.01938252688331214
[538, 766],0.026763911811405767
[538, 862],0.013832732163953752
[538, 937],0.042740344689852744
[217, 538],0.024138313515407996
[538, 914],0.016082418795189055
[538, 684],0.027878906226083633
[538, 692],0.018182895893974805
[32, 538],0.021729706042761195
[283, 538],0.026893061686591783
[419, 538],0.02031405761104297
[39, 538],0.027134847178732113
[354, 538],0.01798657663701904
[72, 538],0.01284372008795225
[538, 947],0.025393180486341538
[145, 538],0.020046701798918216
[177, 538],0.027538433665794997
[538, 883],0.03882937545607921
[45, 538],0.011458777318613509
[25],0.01940189817157536
[25, 368],0.01940189817157536
[25, 120],0.015659428786673243
[25, 529],0.013401451783723322
[25, 217],0.012100421738172377
[25, 966],0.01940189817157536
[25, 354],0.01940189817157536
[25, 862],0.010161127383622274
[25, 684],0.013474336002135004
[25, 766],0.014143167283486142
[25, 937],0.013138007518027088
[25, 829],0.015376391797596652
[25, 919],0.018193841786886152
[25, 914],0.010769807904826916
[25, 722],0.01100285415309325
[25, 362],0.015695546225277537
[25, 682],0.012798423566488632
[52],0.019835380667516982
[52, 368],0.019835380667516982
[52, 538],0.019835380667516982
[25, 52],0.019835380667516982
[25, 52, 919],0.010159616233971847
[52, 283],0.015441973874825973
[52, 145],0.019835380667516982
[52, 947],0.013381951478742068
[52, 183],0.012447164337834911
[21, 52],0.010324643551319762
[52, 829],0.019835380667516982
[52, 217],0.019835380667516982
[52, 789],0.013112456540418408
[52, 529],0.019835380667516982
[52, 120],0.019365466140163504
[52, 862],0.011818737421058809
[8, 52],0.010485058358148811
[52, 722],0.019835380667516982
[48, 52],0.019835380667516982
[52, 914],0.014997718796463395
[52, 888],0.012979952941116773
[52, 419],0.01938354291032236
[52, 766],0.017185932535902733
[52, 72],0.010272039845986328
[52, 937],0.018937107240887437
[52, 966],0.015472594166258027
[39, 52],0.0133045354147115
[52, 494],0.018515403493679396
[52, 883],0.014636082830372923
[52, 692],0.017589215303744517
[52, 354],0.019835380667516982
[52, 362],0.017037182518595925
[52, 919],0.019835380667516982
[32, 52],0.015340490937570676
[52, 460],0.019310733034036954
[52, 684],0.014181903651214054
[1, 52],0.01312759231547184
[12, 52],0.012555342252232756
[6, 52],0.010706625287721348
[52, 682],0.01545525394398562
[240],0.015250121842845406
[240, 368],0.015250121842845406
[240, 538],0.015250121842845406
[75, 240],0.015250121842845406
[17, 240],0.015250121842845406
[17, 240, 766],0.011461278263534125
[236, 240],0.015250121842845406
[17, 236, 240],0.015250121842845406
[17, 236, 240, 766],0.010143405355107205
[236, 240, 766],0.011935524667986027
[240, 283],0.013513740417929354
[171, 240],0.015250121842845406
[240, 354],0.015250121842845406
[217, 240],0.015250121842845406
[240, 692],0.015250121842845406
[240, 362],0.015250121842845406
[27, 240],0.015250121842845406
[112, 240],0.012368832175411642
[240, 766],0.015250121842845406
[240, 829],0.015250121842845406
[39, 240],0.015250121842845406
[183, 240],0.011840766679994516
[32, 240],0.014939707216365802
[240, 937],0.012616569479902195
[240, 529],0.010719976641848494
[240, 419],0.014329814502775191
[120, 240],0.012564617508495031
[177, 240],0.01097009372243376
[240, 914],0.012553569603713894
[240, 883],0.013147388827484164
[240, 682],0.010778935230960717
[205, 240],0.011034403848354893
[274],0.019684263871156824
[274, 368],0.019684263871156824
[274, 538],0.019684263871156824
[240, 274],0.019684263871156824
[240, 274, 538],0.03988319999711903
[274, 722],0.019684263871156824
[274, 419],0.019684263871156824
[71, 274],0.013569511498556024
[73, 274],0.019684263871156824
[130, 274],0.019684263871156824
[130, 274, 829],0.012868964697998395
[130, 274, 368],0.011549794340873706
[145, 274],0.019684263871156824
[28, 274],0.019684263871156824
[28, 145, 274],0.04261023141986941
[157, 274],0.019684263871156824
[145, 157, 274],0.019684263871156824
[28, 157, 274],0.019684263871156824
[28, 145, 157, 274],0.042000602844879185
[32, 274],0.019684263871156824
[274, 888],0.019684263871156824
[21, 274],0.01842420348152125
[21, 32, 274],0.01002708483697471
[54, 274],0.016522223546039213
[192, 274],0.019684263871156824
[239, 274],0.016325807014496683
[70, 274],0.010570329868398877
[274, 354],0.019684263871156824
[274, 883],0.019684263871156824
[177, 274],0.019684263871156824
[177, 274, 883],0.017388232785235817
[274, 862],0.01791703246204334
[116, 274],0.010249849642579629
[274, 460],0.016969660541244533
[8, 274],0.019684263871156824
[36, 274],0.019684263871156824
[8, 36, 274],0.040107563495631014
[120, 274],0.018735041395458035
[274, 766],0.019684263871156824
[205, 274],0.016665056910597175
[274, 966],0.01700789465723219
[274, 362],0.017906032660942952
[274, 529],0.019684263871156824
[112, 274],0.010801617148770622
[274, 682],0.0195459676514171
[48, 274],0.011946779603588878
[201, 274],0.019684263871156824
[274, 937],0.017514245930908886
[204, 274],0.01240937273555273
[274, 829],0.019684263871156824
[57, 274],0.01039811150322427
[151, 274],0.011480645464252169
[217, 274],0.018788972344681413
[69, 274],0.013003627722962433
[183, 274],0.01788959262252139
[274, 789],0.01780872116545924
[147, 274],0.01171951168199591
[274, 684],0.019684263871156824
[274, 494],0.019684263871156824
[274, 914],0.016878609565883475
[161, 274],0.011170146915792304
[236, 274],0.011590345665892652
[39, 274],0.016424390509127598
[274, 692],0.017405927765632594
[72, 274],0.015404887391184865
[274, 919],0.01918879487765273
[274, 283],0.010798164423422402
[214, 274],0.010202829578334831
[274, 947],0.019684263871156824
[75, 274],0.013613675854166504
[328],0.01788528398972009
[328, 368],0.01143954931511788
[328, 538],0.01788528398972009
[240, 328],0.01788528398972009
[240, 328, 538],0.03255480293894617
[274, 328],0.01788528398972009
[274, 328, 538],0.01788528398972009
[240, 274, 328],0.01788528398972009
[240, 274, 328, 538],0.02940280108634442
[328, 529],0.014643722742675584
[328, 862],0.01788528398972009
[328, 789],0.01788528398972009
[328, 789, 862],0.016868892808725996
[154, 328],0.01788528398972009
[154, 328, 862],0.017513706233776644
[154, 328, 789],0.01768092139280358
[154, 328, 789, 862],0.01686471817413867
[4, 328],0.01788528398972009
[70, 328],0.01788528398972009
[4, 70, 328],0.02311139079411687
[129, 328],0.01788528398972009
[70, 129, 328],0.015392394968034767
[328, 766],0.012503628711299382
[448],0.021221721931102108
[368, 448],0.01630221598152911
[448, 538],0.021221721931102108
[240, 448],0.021221721931102108
[240, 448, 538],0.03320212205817796
[274, 448],0.021221721931102108
[274, 448, 538],0.021221721931102108
[240, 274, 448],0.021221721931102108
[240, 274, 448, 538],0.030174561609154608
