[368],0.07640048148757557
[25],0.015291553559733885
[52],0.01947711111024177
[25, 52],0.012227209766414315
[240],0.016190159800199614
[240, 470],0.01096430245954047
[75, 240],0.011159393383286878
[75, 240, 470],0.010323759086298345
[17, 240],0.016190159800199614
[236, 240],0.016190159800199614
[17, 236, 240],0.016874116289644032
[171, 240],0.010139625788987297
[274],0.02558845570070232
[73, 274],0.010008849008506328
[130, 274],0.019811089716993566
[145, 274],0.013998842401691657
[28, 274],0.013410323117120624
[28, 145, 274],0.011483109704684906
[192, 274],0.011155030196250595
[8, 274],0.014520880560560893
[448],0.01391852348625877
[274, 448],0.010771472912603226
[538],0.038975108865218544
[368, 538],0.018621753182287534
[274, 538],0.010523252221221401
[448, 538],0.029905835091254766
[93, 538],0.0185346881360193
[529, 538],0.014910158060801438
[120, 538],0.012574464564242441
[147, 538],0.012042041767752754
[78, 147, 538],0.010044570601663244
[460, 538],0.014454607958898174
[205, 538],0.01270467066792412
[526, 538],0.01439722669166265
[78, 538],0.013491421014610427
[538, 937],0.01589413525872351
[334, 538],0.012896985159821676
[538, 684],0.014425194182038473
[561],0.026270152369846367
[368, 561],0.013545510055375768
[561, 829],0.013610998622609928
[346, 561],0.02582618134455486
[217, 346, 561],0.01558587527509496
[477, 561],0.011313721827311114
[217, 561],0.018407585019972125
[561, 883],0.011629451961909636
[630],0.015297104895417196
[630, 883],0.015297104895417196
[6, 630],0.011391702933735917
[175, 630],0.011704210495558401
[630, 789],0.010566558365386714
[606, 630],0.01179897024542556
[687],0.017522704043312746
[368, 687],0.010333240575558613
[775],0.03715446510819196
[177, 775],0.015242898740711894
[78, 775],0.013976598230886794
[78, 177, 775],0.011122291230893547
[548, 775],0.01006947709655514
[259, 775],0.012901356109120351
[177, 259, 775],0.011043919579985365
[78, 259, 775],0.011207419161458334
[78, 177, 259, 775],0.01026778769419021
[75, 775],0.023170921636556718
[325, 775],0.015096104647789621
[75, 325, 775],0.014331899818882844
[72, 775],0.012766026296613076
[239, 775],0.013848699060765081
[72, 239, 775],0.010108529652055729
[578, 775],0.012754921225274227
[825],0.0292489956912365
[39, 825],0.0292489956912365
[704, 825],0.0292489956912365
[39, 704, 825],0.029438431319092344
[834],0.013767215694393835
[832, 834],0.010740779858338706
[175, 834],0.013767215694393835
[120],0.0468679619758502
[120, 829],0.014476586285826895
[39],0.042031812770633316
[39, 368],0.012188670102951292
[39, 145],0.018629312612607002
[39, 419],0.014612384872597623
[205],0.033742395546837965
[120, 205],0.017164636687415736
[205, 883],0.017867905449381993
[205, 460],0.016294851880561716
[12, 205],0.014142428841755513
[205, 368],0.017521956982066766
[205, 766],0.015449300131013541
[85, 205],0.010655102103231987
[21, 205],0.02348700837046361
[205, 494],0.010147610099374262
[78, 205],0.015169008846528447
[21, 78, 205],0.012009719629670575
[205, 217],0.01254839063724871
[177, 205],0.0106333079686209
[205, 829],0.015014015158584974
[205, 529],0.021969860243339384
[75, 205],0.011366090594584679
[163, 205],0.013848910948506104
[21, 163, 205],0.012476788461295745
[78, 163, 205],0.012036048461441849
[21, 78, 163, 205],0.011262627429143553
[401],0.03682694521965299
[205, 401],0.014937186100275281
[401, 684],0.021740032841605483
[12, 401],0.01781260240458419
[401, 883],0.018948129126119772
[401, 460],0.019635768876584334
[32, 401],0.014983939511589741
[94, 401],0.017278152352076373
[94, 401, 684],0.015627895044254846
[401, 419],0.010678865957202778
[401, 789],0.01389311131434252
[229, 401],0.01855742969717173
[581],0.029375458944940935
[120, 581],0.014912163042554804
[205, 581],0.01382167071973977
[401, 581],0.016477995190395767
[229, 401, 581],0.014065404338156779
[279, 581],0.014236314148554455
[579, 581],0.01809529550537656
[419, 581],0.02319781216394126
[368, 581],0.010030030801528282
[229, 581],0.016533513372596998
[509, 581],0.016900221308887273
[229, 509, 581],0.01356144577936363
[401, 509, 581],0.013521379825453385
[229, 401, 509, 581],0.012787924219734324
[704],0.017628271759069815
[39, 704],0.04178300622253518
[814],0.016846549073070365
[814, 829],0.016590223425684836
[236, 814],0.015223123773155187
[236, 814, 829],0.014534619321040347
[617, 814],0.012149315037602217
[617, 814, 829],0.01079312750285908
[236, 617, 814],0.010476719315492477
[236, 617, 814, 829],0.010258702116367199
[35],0.019519980239877086
[35, 368],0.010763464408339762
[35, 529],0.011414860076284504
[674],0.02370454724246346
[196, 674],0.01494655814056576
[145, 674],0.01522101035142279
[438, 674],0.010804224498080954
[183, 674],0.015981416805619493
[366, 674],0.015385179247824678
[183, 366, 674],0.014178534725449828
[733],0.011092128203568275
[516, 733],0.011092128203568275
[523, 733],0.011092128203568275
[516, 523, 733],0.015328985273597844
[854],0.02868511689449226
[419, 854],0.01676444911934068
[7, 854],0.014281144771233377
[7, 419, 854],0.013401729318009968
[606, 854],0.014738831441305769
[419, 606, 854],0.013074135049849205
[7, 606, 854],0.012727264755341262
[7, 419, 606, 854],0.012319004717966892
[54, 854],0.010615506283845022
[210, 854],0.010164482592993225
[950],0.01329634270629801
[403, 950],0.01244947271723985
[285, 950],0.010087543009569397
[207, 950],0.010384293374951286
[937],0.04621050161733332
[368, 937],0.01577373795048991
[529, 937],0.012138975922659324
[422],0.013083313210645051
[422, 692],0.013083313210645051
[229, 422],0.012112273056361984
[229, 422, 692],0.010446476526676485
[449],0.01963489119633613
[422, 449],0.011063447715645856
[449, 692],0.015040205298207853
[449, 470],0.013400149768223733
[7, 449],0.013188012954201996
[7, 449, 470],0.011861567256541987
[68, 449],0.011329543330483426
[68, 449, 692],0.010328779800486647
[378, 449],0.01165941616973478
[378, 449, 692],0.010616422327769949
[68, 378, 449],0.010400851872064397
[68, 378, 449, 692],0.010210019955318827
[449, 829],0.014018232977077626
[110, 449],0.015326823684290645
[110, 449, 829],0.010613564923364781
[857],0.015881752037260936
[857, 937],0.013670127875257594
[21, 857],0.015881752037260936
[793, 857],0.015881752037260936
[21, 793, 857],0.015881752037260936
[413, 793, 857],0.015881752037260936
[21, 413, 793, 857],0.0177506816727306
[413, 857],0.015881752037260936
[21, 413, 857],0.018707701392218966
[895],0.03359337956956611
[204, 895],0.01011991406131312
[120, 895],0.01577350089019576
[593, 895],0.015807548761035215
[120, 593, 895],0.014093990341003946
[862, 895],0.015541938861635051
[120, 862, 895],0.01402302370608275
[593, 862, 895],0.014272420036626366
[120, 593, 862, 895],0.013811575295009412
[758, 895],0.010044546916262451
[964],0.02084633757589331
[937, 964],0.011375322817344699
[766],0.06063837829090791
[883],0.04946538936669412
[283],0.04078853268716438
[217, 283],0.02376094441723227
[39, 283],0.01052227694732156
[229],0.02072390914591541
[229, 766],0.01005042052756099
[147, 229],0.011187124069591289
[229, 529],0.014822577586673623
[229, 692],0.015999256551720874
[294],0.011393949572384467
[294, 883],0.011393949572384467
[55, 294],0.011393949572384467
[381],0.03156739158579357
[381, 766],0.011359096737839294
[381, 419],0.010772501923572105
[368, 381],0.014628934564997146
[93, 381],0.010953710792101765
[57, 381],0.013966648708700657
[154, 381],0.014813732089508294
[12, 381],0.011776710659743504
[48, 381],0.01166334229040667
[104, 381],0.011346005804831704
[332, 381],0.010090822894443399
[381, 460],0.017326717825956617
[708],0.010355377873614572
[708, 883],0.010355377873614572
[294, 708],0.010355377873614572
[294, 708, 883],0.012062914295464433
[480, 708],0.010355377873614572
[738],0.021866082072638095
[438, 738],0.012251348269410843
[529, 738],0.010723813599514156
[853],0.017788210743918204
[766, 853],0.01088991019365214
[853, 883],0.017046202153757684
[294, 853],0.01069404436422497
[708, 853],0.010041205022393774
[571, 853],0.017788210743918204
[623, 853],0.017788210743918204
[571, 623, 853],0.019195787639998574
[795, 853],0.017788210743918204
[571, 795, 853],0.017788210743918204
[623, 795, 853],0.017788210743918204
[571, 623, 795, 853],0.017583170807411445
[966],0.03799264331034551
[581, 966],0.014627385274182472
[579, 966],0.012046720634547689
[438, 966],0.01756940387723154
[746, 966],0.015402811915710045
[368, 966],0.012679691955050117
[978],0.01237471666962761
[883, 978],0.01237471666962761
[708, 978],0.011942741558180387
[708, 883, 978],0.010963600168932929
[104],0.010279678024940363
[143],0.014171553555131331
[143, 460],0.014171553555131331
[143, 283],0.01019789889435205
[569],0.027744591348061863
[392, 569],0.01946441687314585
[461, 569],0.018123690430002153
[392, 461, 569],0.01690621008406942
[509, 569],0.019833137377350544
[494, 569],0.011705504054396331
[569, 766],0.011519282473701131
